ID,data,species,task,cell,gene
1,Bone marrow,human,1,5780,14319
2,Dentate gyrus,mouse,"1,4",2930,13913
3,Gastrulation erythroid,mouse,"1,2,4",9815,53801
4,Pancreas,mouse,"1,5",3696,27998
5,Pancreas (batch),mouse,1,10176,17327
6,HSPCs (batch) ,human,1,17667,36601
7,scRNA brain,human,"1,8",54542,32648
8,snRNA brain,human,1,9443,25889
9,scEU-seq organoid,mouse,"1,4,7",3831,9157
10,scNT-seq cortical neuron,mouse,"1,2,7",13476,44021
11,FUCCI_U2OS,mouse,"2,4",1146,19997
12,Lineage-tracing (lung adenocarcinoma),mouse,2,753,25954
13,Murine embryonic,mouse,"2,4",10826,23279
14,Primary visual cortex,mouse,2,91678,24558
15,Reprogramming (morris),mouse,2,85010,22630
16,Reprogramming (schiebinger),mouse,2,165522,17965
17,PBMC68k,human,3,65877,33939
18,PBMC194,human,3,10194,36601
19,PBMC381,human,3,8381,36601
20,PBMC497,human,3,10497,36601
21,PBMC769,human,3,11769,36601
22,ATAC_HSPC,human,7,11605,1000
23,ATAC_human_brain,human,7,4693,947
24,ATAC_mouse_brain,mouse,7,3365,936
25,scEU-seq cell cycle,mouse,7,2793,11848
26,scNT-seq hematopoiesis dynamics,human,7,1947,26193
27,ODE 100,,6,1500,100
28,ODE 500,,6,1500,500
29,SDE 100,,6,1600,100
30,SDE 100,,6,1600,500
31,Dyngen (linear),,6,1500,219
32,Dyngen (bifurcating),,6,1500,233
33,Scalability (cells),,8,0,1000
34,Scalability (genes),,8,10000,0
