Method,mean_1,std_1,mean_2,std_2,rank
cell2fate,0.520626565,0.061539544,0.4108802,0.155523292,19
celldancer,0.666275133,0.065159779,0.681075888,0.146384923,3
deepvelo,0.479446347,0.055335613,0.696655978,0.319594668,15
dynamo_m1,0.514842562,0.036387628,0.332161494,0.144990671,23
graphvelo_std,0.436959359,0.183453971,0.279680502,0.173017987,24
kvelo,0.505114072,0.05664394,0.535144709,0.276279417,17
latentvelo_std,0.548762223,0.207156655,0.405857103,0.380825951,18
pyrovelocity_m1,0.478854335,0.102331419,0.515681588,0.013722276,21
pyrovelocity_m2,0.595727249,0.195659793,0.777975653,0.111643821,1
sctour_mse,0.383275711,0.10244859,0.269620373,0.081696147,25
sctour_nb,0.576165629,0.206687678,0.614318547,0.250111669,12
sctour_zinb,0.59056144,0.19691195,0.610376292,0.253241899,11
scvelo_dyn,0.537105783,0.027750428,0.376954492,0.215601481,20
scvelo_stc,0.608204156,0.047911954,0.757635945,0.212704058,2
sdevelo,0.588064361,0.097467126,0.772877918,0.15434428,3
svelvetvae,0.465971934,0.084672788,0.523435746,0.365594448,21
tivelo_std,0.55971819,0.163660866,0.701158239,0.268244688,10
tivelo_simple,0.549564531,0.178876824,0.687353876,0.275077927,12
unitvelo_ind,0.624818828,0.175166432,0.654213249,0.174684514,6
unitvelo_uni,0.582431804,0.039987907,0.699483497,0.249946507,8
veloae,0.557767548,0.167710632,0.418455308,0.25066344,16
velocyto,0.58749893,0.020334195,0.720083192,0.293063221,5
velovae_std,0.628981688,0.153195587,0.615364187,0.252992053,6
velovae_fullvb,0.571105524,0.219081146,0.563747676,0.309159378,14
velovi,0.657073883,0.147245665,0.590959514,0.219929083,8
