Method,0,1,2
velocyto,0.6191031,0.47057065,0.5722974
scvelo_dyn,0.5862082,0.34011018,0.59845597
scvelo_stc,0.5757629,0.3998527,0.57857597
veloae,0.65086085,0.50940657,0.66384375
dynamo_m1,0.36094362,0.36270174,0.40424544
unitvelo_ind,0.6342866,0.56449306,0.6536293
unitvelo_uni,0.45022646,-0.36543837,0.56791735
velovae_std,0.17513856,0.33626568,0.20065399
velovae_fullvb,0.6133865,0.4269735,0.5723651
deepvelo,0.0961237,0.049163144,0.5213725
celldancer,0.5710701,0.4546299,0.43685216
pyrovelocity_m1,0.63754934,0.4516538,0.60925627
pyrovelocity_m2,0.58650607,0.4687675,0.61497504
kvelo,0.33193,0.43012255,0.47388172
velovi,0.59868896,0.48592153,0.610005
sdevelo,-0.0708522,-0.39545125,-0.11978575
cell2fate,-0.61579335,-0.40653887,-0.5773511
svelvetvae,0.65345204,0.50487554,-0.22314143
latentvelo_std,-0.21942332,0.20365465,-0.06585799
tivelo_std,0.5611542,0.45799655,0.5825494
tivelo_simple,0.51795006,0.43172473,0.5341775
sctour_mse,0.31541643,-0.51299125,-0.024488237
sctour_nb,-0.60262346,0.41992697,-0.6058624
sctour_zinb,-0.5950287,0.4191886,-0.6086508
graphvelo_std,0.5402196,0.41761127,0.57537496
