Method,0,1,2,3,4
velocyto,0.6352192437414979,0.6400447813081267,0.631511127120984,0.5866017174967646,0.6609935794769313
scvelo_dyn,0.6718371187163447,0.6212692109000986,0.6450267403289295,0.64803183915244,0.6529737704824304
scvelo_stc,0.6744137237481964,0.7378169466885584,0.7048136846927132,0.7064339429910425,0.7418476641995114
veloae,0.7513187877342618,0.7408320723005631,0.7731675759681083,0.8080486396420381,0.7716957678212775
dynamo_m1,0.6020329462590943,0.5507301078177204,0.5780265652073349,0.5590174848361147,0.5557554904691513
unitvelo_ind,0.7048699117327529,0.6839456754883839,0.6830796673951727,0.681227336733122,0.6932952597626717
unitvelo_uni,0.883401080813932,0.9138544573384473,0.8372538386992977,0.8497571884316039,0.8822916780409942
velovae_std,0.6199945097399719,0.5939840200129005,0.6348002617607167,0.6379841279904859,0.5715118960178738
velovae_fullvb,0.731883450802129,0.6991679174993624,0.6938679733682112,0.7473248199712414,0.6485835909511434
deepvelo,0.6728078136859328,0.6189754653105076,0.6548403341434096,0.6829842598550261,0.6405642084055072
celldancer,0.6099023422787622,0.6534256831396561,0.5966490951565118,0.5957412021160895,0.595826657837003
pyrovelocity_m1,0.666094308668985,0.6912601008597525,0.6873760326060651,0.6514448014676408,0.6978247343784615
pyrovelocity_m2,0.8157017480324582,0.8401538595377626,0.8461078672130365,0.8219785955047885,0.7739946780560205
kvelo,0.6029841913165298,0.6498182506794178,0.6319026211608779,0.6366972074457965,0.5588120002320514
velovi,0.7583168916205386,0.7617799651333876,0.7666620978922323,0.768874124632213,0.7487146066575797
sdevelo,0.6385963661336337,0.5978769190051109,0.6063203004809539,0.6004713155155783,0.6218972776512953
cell2fate,0.4001848942308936,0.4766704626501943,0.5562501010058535,0.5247692120159793,0.5210158250114788
svelvetvae,0.6781015806977027,0.5860058288128959,0.6315135354298893,0.6820483893641579,0.6885020318490223
latentvelo_std,0.8686823529943288,0.8446588007461,0.8561296314972713,0.8183604898758081,0.8864870662801894
tivelo_std,0.6844522159878896,0.7226400813774604,0.7294791026377707,0.7126044134920169,0.7114782206553758
tivelo_simple,0.6112027268735785,0.6488515417027209,0.6295383598057049,0.6410528572687771,0.6124576554211176
sctour_mse,0.5180021187936589,0.6369687960010668,0.6601296624686598,0.6900075931155958,0.5960374673251239
sctour_nb,0.7835117470412054,0.7772760757530278,0.783340329683076,0.7505395709497503,0.7633380413061572
sctour_zinb,0.8161153773038927,0.8680615238441259,0.7871107411262884,0.7594803983076575,0.8143312542776405
graphvelo_std,0.47161238963474855,0.44946573948142393,0.439846757314848,0.4602484485353686,0.4339719382066258
