Method,mean_dataset_mean,rank
LatentVelo (std),0.8805220600689184,1
scTour (ZINB),0.8627331378756649,2
UniTVelo (uni),0.8604325704526323,3
scTour (NB),0.8356724292008805,4
VeloVAE (Full VB),0.8334024247095064,5
Pyro-Velocity (m2),0.8213101438768765,6
VeloAE,0.8204687750804114,7
veloVI,0.8077670961818324,8
Pyro-Velocity (m1),0.7882616967788033,9
UniTVelo (ind),0.7804990731113917,10
DeepVelo,0.7739801057808791,11
scTour (MSE),0.7731006913794929,12
SDEvelo,0.7645516058200692,13
scVelo (dyn),0.7403205594243946,14
VeloVAE (std),0.7369227309227966,15
TIVelo (std),0.7321648130262084,16
cell2fate,0.7295591149697568,17
SvelvetVAE,0.7033062975803166,18
Dynamo (m1),0.7023996750166093,19
scVelo (stc),0.6672225505679398,20
GraphVelo (std),0.6529482809955351,21
TIVelo (simple),0.6396742557250397,22
Velocyto,0.623267089290363,23
cellDancer,0.6056136021788917,24
  -velo,0.5517924421966847,25
