Method,cbdir_mean,cbdir_rank,tsc_mean,tsc_rank,dataset,class,Method_mapped
velocyto,0.11092406833333333,14.0,-0.12796254755442973,14.0,data03,3,Velocyto
scvelo_dyn,-0.3987383466666667,20.0,-0.8222531106666667,23.0,data03,2,scVelo (dyn)
scvelo_stc,0.16242650833333333,12.0,0.3945048335042127,10.0,data03,3,scVelo (stc)
veloae,0.6558013833333333,6.0,-0.7884531713333334,20.0,data03,3,VeloAE
dynamo_m1,-0.58770899,22.0,-0.26110978796054995,16.0,data03,3,Dynamo (m1)
unitvelo_ind,0.64225814,8.0,-0.22485855384027398,15.0,data03,2,UniTVelo (ind)
unitvelo_uni,-0.02624698,15.0,0.8207801084678618,2.0,data03,1,UniTVelo (uni)
velovae_std,-0.6826368833333333,24.0,-0.832642043,25.0,data03,3,VeloVAE (std)
velovae_fullvb,-0.6861163966666667,25.0,-0.831224244,24.0,data03,3,VeloVAE (Full VB)
deepvelo,0.13863619,13.0,0.36520173700028263,11.0,data03,3,DeepVelo
celldancer,0.5184628866666666,9.0,0.5995688466018599,9.0,data03,3,cellDancer
pyrovelocity_m1,-0.6333827799999999,23.0,-0.8125884593333333,22.0,data03,1,Pyro-Velocity (m1)
pyrovelocity_m2,0.6606038099999999,5.0,0.8104270109447532,4.0,data03,1,Pyro-Velocity (m2)
kvelo,-0.32694416333333337,19.0,-0.7514821646666666,19.0,data03,3,  -velo
velovi,0.6872133166666666,4.0,-0.2771432272866729,18.0,data03,2,veloVI
sdevelo,0.4437249333333333,10.0,0.8232407881404135,1.0,data03,4,SDEvelo
cell2fate,-0.19750320999999996,17.0,-0.27241443948080335,17.0,data03,1,cell2fate
svelvetvae,0.43122079666666674,11.0,0.8023100040367394,7.0,data03,3,SvelvetVAE
latentvelo_std,0.6523766033333334,7.0,0.628746945405206,8.0,data03,1,LatentVelo (std)
tivelo_std,-0.19754422333333332,18.0,-0.022423351238986904,12.0,data03,3,TIVelo (std)
tivelo_simple,-0.17690904999999998,16.0,-0.02347414575111038,13.0,data03,3,TIVelo (simple)
sctour_mse,0.6935265666666667,3.0,0.8115011213810935,3.0,data03,1,scTour (MSE)
sctour_nb,0.6992667333333333,2.0,0.8036963604239683,6.0,data03,1,scTour (NB)
sctour_zinb,0.7020538666666667,1.0,0.8063403694255049,5.0,data03,1,scTour (ZINB)
graphvelo_std,-0.5455018500000001,21.0,-0.8115710386666667,21.0,data03,3,GraphVelo (std)
velocyto,0.15321591499999998,6.0,0.6978047713103531,4.0,data10,3,Velocyto
scvelo_dyn,0.148253655,7.0,0.533453625626262,7.0,data10,2,scVelo (dyn)
scvelo_stc,0.08251102,11.0,0.684892612149996,5.0,data10,3,scVelo (stc)
veloae,0.3324174066666667,2.0,0.5190329266439816,9.0,data10,3,VeloAE
dynamo_m1,-0.24195049000000002,20.0,0.7100001598642689,2.0,data10,3,Dynamo (m1)
unitvelo_ind,0.33631100333333336,1.0,0.4479746139971857,12.0,data10,2,UniTVelo (ind)
unitvelo_uni,0.15873344666666667,5.0,0.651921187847864,6.0,data10,1,UniTVelo (uni)
velovae_std,-0.1469335833333333,18.0,-0.2647833732965987,17.0,data10,3,VeloVAE (std)
velovae_fullvb,-0.26276164333333335,21.0,-0.5208242333333333,20.0,data10,3,VeloVAE (Full VB)
deepvelo,-0.13121303333333334,17.0,0.5288471628123013,8.0,data10,3,DeepVelo
celldancer,0.014961331666666668,15.0,-0.6795138326666667,22.0,data10,3,cellDancer
pyrovelocity_m1,0.16064207466666666,4.0,0.08078461198608412,15.0,data10,1,Pyro-Velocity (m1)
pyrovelocity_m2,0.14330202733333333,8.0,-0.37683621533333334,19.0,data10,1,Pyro-Velocity (m2)
kvelo,0.10948204400000001,10.0,-0.30059710266666667,18.0,data10,3,  -velo
velovi,-0.17031442500000002,19.0,0.20369329298138553,13.0,data10,2,veloVI
sdevelo,0.20085075,3.0,0.4945345898241498,10.0,data10,4,SDEvelo
cell2fate,-0.2989812466666667,24.0,-0.7207076973333333,24.0,data10,1,cell2fate
svelvetvae,0.018197121666666666,14.0,0.17545241748429485,14.0,data10,3,SvelvetVAE
latentvelo_std,-0.2793101533333333,22.0,-0.7284191256666667,25.0,data10,1,LatentVelo (std)
tivelo_std,0.036295096666666665,12.0,0.7094363062717135,3.0,data10,3,TIVelo (std)
tivelo_simple,0.030165525,13.0,0.7121162042112791,1.0,data10,3,TIVelo (simple)
sctour_mse,-0.32047643333333337,25.0,-0.5408581983333334,21.0,data10,1,scTour (MSE)
sctour_nb,-0.29611761666666664,23.0,-0.696412548,23.0,data10,1,scTour (NB)
sctour_zinb,-0.11724608333333335,16.0,-0.16861116323879666,16.0,data10,1,scTour (ZINB)
graphvelo_std,0.14103935,9.0,0.47648000062388807,11.0,data10,3,GraphVelo (std)
