Method,0,1,2
velocyto,0.6893795105968205,0.675942503301236,0.7280923000330032
scvelo_dyn,0.5163085454441797,0.583480235249349,0.5005720961852572
scvelo_stc,0.649032108009144,0.6946985468236399,0.7109471816172039
veloae,0.19295251589459345,0.7569245102781288,0.6072217537592226
dynamo_m1,0.7198113552931266,0.6879607198991881,0.7222284044004921
unitvelo_ind,0.3801734817426857,0.4597951789776165,0.5039551812712548
unitvelo_uni,0.6821611789964458,0.6368075947865013,0.6367947897606451
velovae_std,-0.696981098,0.29779405611020393,-0.395163078
velovae_fullvb,-0.763504585,-0.114230579,-0.684737536
deepvelo,0.695636644696961,0.5017508473852114,0.38915399635473147
celldancer,-0.680887129,-0.668958642,-0.688695727
pyrovelocity_m1,-0.135948868,0.6449157759582523,-0.266613072
pyrovelocity_m2,-0.443119766,-0.341278853,-0.346110027
kvelo,-0.297144713,-0.141073524,-0.463573071
velovi,0.4307243525079869,-0.415040415,0.5953959414361697
sdevelo,0.501346462568661,0.4688511009335768,0.5134062059702117
cell2fate,-0.76687198,-0.700055077,-0.695196035
svelvetvae,0.2514855515378282,-0.094505949,0.36937764991505645
latentvelo_std,-0.747974226,-0.793475884,-0.643807267
tivelo_std,0.7199225936266882,0.687405749245073,0.720980575943379
tivelo_simple,0.707187583172896,0.7045417576572075,0.724619271803734
sctour_mse,-0.535863031,-0.525117672,-0.561593892
sctour_nb,-0.71024954,-0.670283998,-0.708704106
sctour_zinb,-0.669931201,-0.662538966,0.8266366772836099
graphvelo_std,0.33181306155604035,0.3937861969266468,0.703840743388977
