Method,0,1,2,3,4
velocyto,41.64730290877848,54.75004218003695,47.915739942042194,45.20739907734972,55.61864168332645
scvelo_dyn,15.429450026198332,10.930741902920282,26.838317352786234,19.701121182802947,9.309160295758957
scvelo_stc,37.598740459560496,49.81472950517897,44.21622219768707,40.55092467935615,50.265285934094976
veloae,219.31916480537564,84.22448900442001,227.90221836337358,120.98094929685806,256.102936476295
dynamo_m1,150.4383175666281,154.13615856971708,148.36448947255303,147.04714558725058,145.02718665586525
unitvelo_ind,33.0030642440248,36.24036207385604,24.13875156558755,34.27681007413541,34.2428318593544
unitvelo_uni,51.09860165137263,45.344057198416,27.93863282005368,40.60379726436026,34.60008876038389
velovae_std,9.803621400691894,8.341890064977713,12.590257707068641,10.791691696243525,10.074503808485064
velovae_fullvb,8.719637632884442,8.165446548819496,8.572407490499563,6.928097254050895,6.998583230201851
deepvelo,14.700939546768442,14.792592770298063,14.449860844521728,14.361263145274663,17.088417457983297
celldancer,28.008848725874692,33.264603262040666,22.640638993827046,20.63495631442952,21.990994376465803
pyrovelocity_m1,8.739578309882134,10.100675458335095,9.416897696173534,9.008504927386982,10.292654411609925
pyrovelocity_m2,8.466006688927942,8.535560902776536,10.640672780148883,11.67498813513504,9.514334173411951
kvelo,49.386695224675435,41.337033172234015,108.23348529659593,48.27703111469552,32.430303026975224
velovi,10.766797067420262,9.485092641991091,8.954029470860347,10.686877781104158,13.607871865673204
sdevelo,224.05067127596578,195.85924441255455,252.4972209211242,226.75789867037693,220.91381473850527
cell2fate,295.99919157449114,106.29297253744512,343.5536032198861,229.94569114468865,696.8988666051997
svelvetvae,17.026553280056135,11.265130515768908,15.695484970775993,13.040944115959773,11.535104798432727
latentvelo_std,14.087434829437276,6.799974215464059,33.163466188247305,43.83246838416705,12.40120953972291
tivelo_std,56.36291187278143,38.42463259086079,71.70853854,59.618105792269354,69.37292952281554
tivelo_simple,78.68737450223811,75.13846840560994,75.22311894386577,67.3449128944145,94.08844731178259
sctour_mse,26.101145627051203,21.972467142040383,40.99109056927884,34.67501424141873,43.56070359449202
sctour_nb,30.326870743388678,2.436898422741703,2.1062113099679207,13.78398701071809,2.51861694040465
sctour_zinb,23.614413796771878,4.4490963952235765,9.161344726093493,3.4458014036131557,7.63698190527949
graphvelo_std,8.44229234266869,10.972218018444828,9.255083798797205,8.44229234266869,9.361762667947014
