Method,0,1,2,3,4
velocyto,67.14451612903225,84.94285063752277,74.73274618479994,69.57318554509565,83.97828727604009
scvelo_dyn,43.13387978142077,28.758026565464895,55.79483870967742,53.50595825426945,22.63438330170778
scvelo_stc,60.153279684178564,77.49555909815531,68.50277166071835,62.532073179989375,76.06735003796507
veloae,261.79034461818736,170.08206802307927,249.23182025201154,186.31460674157304,262.3253624838685
dynamo_m1,218.84234682169355,231.08003982843138,216.54231327880132,218.53153498352364,216.04832543202323
unitvelo_ind,87.03575766778015,93.611203886443,67.96220113851993,86.7292947696045,90.99650800880589
unitvelo_uni,104.3435294117647,91.0591226472374,64.05518445422803,93.5903294367694,70.54004402945418
velovae_std,24.988076251234148,19.809245483528162,31.74151416204723,27.648484388057433,25.312419293581467
velovae_fullvb,21.40013664313368,18.46834674358585,20.468569693288796,14.930751708428247,15.146002581428897
deepvelo,45.10951730418944,40.712204007285976,35.838557874762806,42.16212523719165,52.08637571157495
celldancer,74.32085358444715,82.74027946537059,63.27881182101345,58.273486747170956,61.71440504214443
pyrovelocity_m1,19.164060127543273,21.574823475818086,20.328244854560644,19.798374848116648,22.5210690152608
pyrovelocity_m2,17.224567263893107,17.392255125284738,22.293144028547566,23.504937708903068,19.75753663907662
kvelo,119.13729508196721,95.22662416514875,172.66899430740037,81.72296015180265,85.76834914611005
velovi,26.773603521554342,24.073092979127136,22.03157495256167,28.188007590132827,35.478785578747626
sdevelo,304.43131451123253,284.21874762808346,329.38553210869895,312.0246698041597,306.7006451612903
cell2fate,789.1310915439502,447.00022772126914,826.0371944739638,637.3066120094132,1649.1632126318987
svelvetvae,33.26408076514346,20.95352722302377,30.70584662110858,24.5093766608458,22.920243068742877
latentvelo_std,21.2692220113852,11.795734021557614,51.63757216651474,63.21784358390281,20.45095657455208
tivelo_std,83.93836812144212,52.03809957498482,105.39681214421252,96.41540796963947,111.45976924244725
tivelo_simple,111.54447480267153,108.07331511839709,105.48166982922201,98.54163187855788,130.87438330170778
sctour_mse,38.709405602368484,32.78874629812438,55.93525125246698,47.826261859582544,58.75692704774919
sctour_nb,43.001290322580644,3.4641340254837187,2.912658530748983,21.440039492671072,3.6232383338553085
sctour_zinb,35.203810535904054,6.908060067422618,14.475159525979945,5.229493016436454,12.096671226630187
graphvelo_std,17.547890103217973,23.842440801457194,19.821935483870966,17.547890103217973,19.047210626185958
