Method,0,1,2
velocyto,69.5360612304975,76.70688640376692,71.14546525323911
scvelo_dyn,24.39302600472813,20.730837264150942,26.954236787717743
scvelo_stc,54.886330085621495,61.13193624557261,58.91027154663518
veloae,62.029011249259916,66.0551785187371,64.59527326440177
dynamo_m1,25.434007134363853,24.14251639833035,26.921381774865992
unitvelo_ind,26.640047323277138,28.77958099734435,25.78645371191955
unitvelo_uni,35.951450562462995,35.43611684862791,41.49099498080898
velovae_std,27.37344398340249,19.566300800949275,18.86139202855443
velovae_fullvb,20.440662918023083,20.67090855282628,19.189557994660337
deepvelo,48.14138438880707,45.27583161613188,47.64515178308282
celldancer,18.81670121409535,19.80147928994083,20.006218537163164
pyrovelocity_m1,8.627189076877412,10.983751846381093,13.369107619329974
pyrovelocity_m2,9.001777251184834,10.038143110585452,14.98105948505475
kvelo,70.87799113737076,39.603717910888165,30.575229086609518
velovi,29.40094618568894,26.031544811320753,34.91605084244753
sdevelo,14.842167604382588,16.302456348031964,17.27342595329589
cell2fate,101.79299175500589,198.97644287396938,157.2944640753828
svelvetvae,11.307874481941978,16.075538506934198,18.524162466646903
latentvelo_std,17.28183962264151,9.584783249778827,20.142435859628428
tivelo_std,52.380517951736316,52.222778104767514,51.45909358446145
tivelo_simple,46.598293113596235,48.008828722778105,49.40523837551501
sctour_mse,12.39237137788291,28.783624002364764,33.398751115075825
sctour_nb,9.571850103275303,17.4806384865504,13.376255168340224
sctour_zinb,10.165631469979296,17.475501770956317,16.96931248155798
graphvelo_std,18.265185185185185,21.1116361488482,23.12963512310887
