Method,0,1,2
velocyto,49.390523465989084,40.18264228472038,45.87498860951952
scvelo_dyn,18.030938801540174,12.858340045263,25.8339483383379
scvelo_stc,37.7411275937523,34.165474204029685,35.82820767986661
veloae,81.08238620177036,72.88145711617277,58.790056872316974
dynamo_m1,17.035273456565157,16.04607460813359,17.365877874236084
unitvelo_ind,23.528583687616422,25.88017443831532,24.61754903035475
unitvelo_uni,19.06907106592486,31.67713674478287,23.626230854931098
velovae_std,11.14702012456987,13.46263100965979,16.53503605711464
velovae_fullvb,12.705632482752454,13.083209595061145,15.93589672540628
deepvelo,34.213556413768295,24.310258353392115,35.78286367046833
celldancer,13.05289588248276,13.632073945882674,12.81302423441283
pyrovelocity_m1,7.12001746672975,7.333398657211706,6.720725199065765
pyrovelocity_m2,8.475418754397134,9.072834516224747,8.038895431664619
kvelo,27.84992227667621,51.805157845575394,30.63982017265155
velovi,19.43704772969428,19.891468741099946,20.136511106082878
sdevelo,34.25024022205948,37.96244768394919,9.6328201632201
cell2fate,62.48296528640597,94.92133426989801,93.72659660437567
svelvetvae,11.034349314340915,9.495680843026426,8.282097293132875
latentvelo_std,12.436437843519178,10.411661387609211,16.780870580021237
tivelo_std,34.628930972243104,32.11796640406211,32.94701395351926
tivelo_simple,31.775951292327978,28.466369352538038,29.153974051626687
sctour_mse,14.73633443144047,26.76399387548334,7.425946678556567
sctour_nb,6.500532822745032,7.954855976658612,7.608331878208252
sctour_zinb,7.344681021671373,7.556923836344963,6.9009041518420435
graphvelo_std,17.88134461158624,21.658103187351024,18.506056680511914
