Method,0,1,2
velocyto,0.22735086,0.24407876,0.2188313
scvelo_dyn,0.27504626,0.43007478,0.3685721
scvelo_stc,0.1906906,0.2515088,0.17977698
veloae,0.028866738,0.030528858,0.114750214
dynamo_m1,0.28760734,0.2827703,0.27007905
unitvelo_ind,0.15208903,0.14731213,0.14605668
unitvelo_uni,0.22794968,0.3478687,0.24201831
velovae_std,0.3652327,0.3751357,0.41450045
velovae_fullvb,0.24255507,0.31461468,0.41078338
deepvelo,0.3689595,0.28800887,0.3019304
celldancer,0.31721017,0.33140862,0.30541548
pyrovelocity_m1,0.26967573,0.25689477,0.26561293
pyrovelocity_m2,0.35203463,0.36947975,0.34308398
kvelo,0.3552432,0.44098616,0.45525357
velovi,0.20881289,0.20964178,0.22585604
sdevelo,0.4477424,0.46292442,0.24928509
cell2fate,0.29169744,0.20346236,0.24238226
svelvetvae,0.2779205,0.28773963,0.25254342
latentvelo_std,0.18967111,0.28132397,0.19349931
tivelo_std,0.13872413,0.13853185,0.16597988
tivelo_simple,0.07945519,0.08525098,0.08835123
sctour_mse,0.20217654,0.12665509,0.18521321
sctour_nb,0.11334024,0.11362271,0.11790232
sctour_zinb,0.13837916,0.12159277,0.13986412
graphvelo_std,0.095807455,0.14924559,0.14461938
