Method,0,1,2
velocyto,-0.021854256,0.13964960522171396,-0.095760478
scvelo_dyn,-0.413357621,-0.281226234,-0.328667677
scvelo_stc,0.138268862906342,0.18260161884830162,0.08931600635878009
veloae,-0.101183624,0.18692390319098443,-0.254258615
unitvelo_ind,-0.140838871,0.0077860923436314415,0.1421405621887727
unitvelo_uni,-0.659625203,-0.542995086,-0.227271995
velovae_std,-0.031549963,0.29590155367787846,0.37701974116329784
velovae_fullvb,-0.015677375,0.2624648444262805,0.2018572344907716
deepvelo,-0.516728553,-0.268110848,-0.232007849
celldancer,-0.160342379,0.06233558921569554,-0.206910226
pyrovelocity_m1,0.18056556459357737,0.4132043990104994,0.17979524265315966
pyrovelocity_m2,-0.041527932,0.14318665824667898,0.26529133666805554
kvelo,-0.553042701,-0.252008748,-0.218925815
velovi,0.012877323242538319,0.24357247824589687,0.09349776938716367
sdevelo,-0.189040573,-0.329865791,-0.211444746
cell2fate,-0.080699589,-0.052199366,-0.115953575
svelvetvae,-0.054016778,0.4642643049263838,0.001924716487807047
latentvelo_std,0.2948622578391745,-0.538855938,0.1059578089692188
tivelo_std,-0.023688599,0.026970300925108066,-0.158321202
tivelo_simple,-0.023688599,0.03966782307893233,-0.225507642
sctour_mse,-0.120204127,0.3064915048934793,0.17770625404315327
sctour_nb,-0.027767545,-0.011969567,-0.32206724
sctour_zinb,-0.101133445,0.17797646130780356,-0.183531276
velvetvae,0.31647975333405315,0.325838244990043,0.19321652951584767
graphvelo_std,-0.183337963,-0.458037809,0.4148451444101132
dynamo_m1,-0.16516411,-0.108982256,-0.305419202
dynamo_m2,0.37054656041011946,0.10287969588299724,0.2537683155362447
