method,max_capacity,capacity_base,efficiency_bonus,scalability_score,overall_rank
sctour_mse,1000000,4,1.0,5.0,1
sctour_nb,1000000,4,0.45985401459854014,4.45985401459854,2
sctour_zinb,1000000,4,0.015763795182762774,4.015763795182763,3
velocyto,500000,3,0.6579229906099724,3.6579229906099724,4
scvelo_stc,500000,3,0.23483206843117865,3.234832068431179,5
velovi,100000,2,0.9725676050052611,2.972567605005261,6
sdevelo,100000,2,0.9674913380749173,2.9674913380749173,7
velovae_fullvb,100000,2,0.8078675009416906,2.8078675009416907,8
deepvelo,100000,2,0.7948646271501629,2.794864627150163,9
velovae_std,100000,2,0.7865497030947048,2.786549703094705,10
scvelo_dyn,100000,2,0.6353836531890219,2.635383653189022,11
veloae,100000,2,0.628219801860936,2.628219801860936,12
dynamo_m1,100000,2,0.41901150020374744,2.4190115002037476,13
kvelo,100000,2,0.2206074644345496,2.2206074644345497,14
pyrovelocity_m2,50000,1,0.925802378946273,1.925802378946273,15
pyrovelocity_m1,50000,1,0.9197377586529473,1.9197377586529472,16
latentvelo_std,50000,1,0.4829537400359875,1.4829537400359876,17
graphvelo_std,50000,1,0.396641999738099,1.396641999738099,18
svelvetvae,10000,0,0.883945832276299,0.883945832276299,19
unitvelo_uni,10000,0,0.7461428679552774,0.7461428679552774,20
cell2fate,10000,0,0.49271898405691605,0.49271898405691605,21
tivelo_std,10000,0,0.45554965574124184,0.45554965574124184,22
tivelo_simple,10000,0,0.42395637923338775,0.42395637923338775,23
unitvelo_ind,10000,0,0.38415289627964205,0.38415289627964205,24
celldancer,10000,0,0.19694376900985006,0.19694376900985006,25
