Method,0,1,2,3,4
sctour_mse,-0.302152304,-0.095704218,-0.264988868,-0.072408193,-0.324901261
sctour_nb,-0.403048856,-0.223526735,-0.359038493,-0.344340142,-0.377584934
sctour_zinb,-0.410283274,-0.346916216,-0.357535265,-0.284423946,-0.34118778
velocyto,-0.64154988,-0.371056008,-0.592290026,-0.416324955,-0.548796392
scvelo_stc,-0.860694901,-0.363632877,-0.404466062,-0.318440583,-0.413687359
velovi,0.393583614,0.131684903,0.187543745,0.16912486,0.067961073
sdevelo,-0.251799823,-0.204258329,-0.24814146,-0.251909627,-0.252338029
velovae_fullvb,0.199636613,0.197446218,0.203063249,0.162114729,0.188670812
deepvelo,0.661852208,-0.940241006,-0.946429576,-0.947634538,-0.305749846
velovae_std,0.239808077,0.151995861,0.169286558,0.191420162,0.196812948
