Method,mean_1,std_1,mean_2,std_2,rank
cell2fate,0.4735697804477683,0.08823335220345481,0.49535573685523243,0.20917632344698958,16.0
celldancer,0.5359456464063983,0.08993011446395481,0.6061547431534854,0.20352740705170896,8.0
deepvelo,0.5824241903577669,0.09741855458073771,0.6669656266765076,0.17518534493462284,2.0
dynamo_m1,0.5636180927605489,0.12186975809110057,0.619231707230841,0.2519824781018793,3.0
graphvelo_std,0.5221804762335972,0.09742317396647845,0.5479386380783645,0.21365508860794585,9.0
kvelo,0.4900483557118622,0.14616268134447985,0.41649124646890784,0.2917914370006743,19.0
latentvelo_std,0.46353134834841897,0.1776966446033099,0.4193524473416106,0.321876432342745,20.0
pyrovelocity_m1,0.5074456994336785,0.17804453241630588,0.5057325279067805,0.3098654619038624,13.0
pyrovelocity_m2,0.4730641473001864,0.16813224727960127,0.46341380923429637,0.30882140934537594,18.0
sctour_mse,0.44291687534286867,0.1634459613066319,0.4449074073259648,0.32262742906348385,23.0
sctour_nb,0.44982252239293025,0.16144896916896104,0.44450615959429246,0.3212777490459,23.0
sctour_zinb,0.47932389262638,0.16043411910119237,0.47571411614996667,0.29508721539259714,17.0
scvelo_dyn,0.46212819536340355,0.08764409302294053,0.4444552267847235,0.19214432612095628,20.0
scvelo_stc,0.5401431000214314,0.11145713760046168,0.5861967803399195,0.22578617939055773,7.0
sdevelo,0.5393766557634906,0.07613187799405932,0.6761975688146128,0.21899248238766253,3.0
svelvetvae,0.5501180479367179,0.11353256062469198,0.6447168949328103,0.20275486255341996,3.0
tivelo_simple,0.5231574561888314,0.13369515307081695,0.542384360965295,0.24792465019787568,9.0
tivelo_std,0.5211054068858307,0.12478971316350865,0.536804019183066,0.19650492459839008,11.0
unitvelo_ind,0.4923326270863344,0.08013100396223158,0.5012746830527154,0.16211467443234173,14.0
unitvelo_uni,0.619552391849459,0.13056090290072767,0.7281105286957346,0.21357387852264795,1.0
veloae,0.49875792229072313,0.10899477134577436,0.47865521300817354,0.20521376290702284,15.0
velocyto,0.5713281631863786,0.12127326800727163,0.6079074634991812,0.2662397832379182,3.0
velovae_fullvb,0.45990113227446877,0.09662201638839064,0.3844468382164792,0.19571532369762626,25.0
velovae_std,0.47319173957949073,0.08939202276020097,0.4134923581468969,0.21290497387174231,20.0
velovi,0.5122721952963506,0.11122511118805532,0.5269989753524091,0.2002203061702107,12.0
