Method,0,1,2
velocyto,0.6649316410319837,0.6667483777138064,0.6906817569874083
scvelo_dyn,0.5639605125050438,0.5937591839532095,0.6102201236565461
scvelo_stc,0.6544502257063767,0.6618710966179323,0.683005563676048
veloae,0.542366542034023,0.7007645651751905,0.6813962901180333
dynamo_m1,0.6972925786394978,0.6427070307921635,0.6939780420408911
unitvelo_ind,0.5743501279104978,0.5723391093078103,0.6053630183675671
unitvelo_uni,0.6049672451037067,0.5990162473358959,0.5966040041442945
velovae_std,0.3363494215856476,0.5629433814909054,0.48528155113565485
velovae_fullvb,0.31882139765723705,0.4742892619177438,0.33791868981911555
deepvelo,0.6689728297912177,0.6395494467248493,0.596598683496536
celldancer,0.3290505403616184,0.35260998944054417,0.3336997780813668
pyrovelocity_m1,0.4703629931882009,0.622233570267492,0.4247087844752985
pyrovelocity_m2,0.3714477584752879,0.40828046501675497,0.389005352937314
kvelo,0.4192657194422007,0.4528122434468551,0.370192955178817
velovi,0.5845755801248327,0.43660631609155065,0.6009169071213306
sdevelo,0.5908124863884182,0.5969758506325347,0.5917323105509691
cell2fate,0.3215472520518377,0.3233708449982301,0.2516146276367984
svelvetvae,0.5380247433808127,0.4926175820756417,0.5581542929329948
latentvelo_std,0.32117894413625125,0.3178786200883037,0.35158607124283925
tivelo_std,0.677115806827417,0.6808812534247779,0.6931604595083085
tivelo_simple,0.6705331184327605,0.6811597813145618,0.6928978907811931
sctour_mse,0.35379140175580537,0.3506672390632429,0.3419988078597818
sctour_nb,0.3066910531965673,0.31704922883642084,0.29772451608561684
sctour_zinb,0.32689413952604474,0.32519086265621344,0.7361923816712727
graphvelo_std,0.5707232834595792,0.5878936039426483,0.6768681571249809
