Method,EES_mean,EES_rank,mc_mean,mc_rank,expKL_mean,expKL_rank,mc_matches_ees,point_color,Method_display
cell2fate,56.42055137685309,1,91.24608139658284,1,0.6183339658350089,18,True,#38b48b,cell2fate
velocyto,50.48050430826155,2,70.85196720623121,2,0.7124785139885565,7,True,#38b48b,Velocyto
scvelo_stc,48.01432792103518,3,66.03421789645186,3,0.7271128431675584,5,True,#38b48b,scVelo (stc)
tivelo_std,46.67354274195204,4,59.521383946965614,4,0.7841474718319523,3,True,#38b48b,TIVelo (std)
veloae,44.15519915253995,5,53.316472311403146,6,0.8281718057909879,2,False,#d0af4c,VeloAE
tivelo_simple,42.708051937985395,6,54.551900894479786,5,0.7828884280420576,4,False,#d0af4c,TIVelo (simple)
dynamo_m1,33.949209557601684,7,47.33616815004054,8,0.7171938685445245,6,False,#d0af4c,Dynamo (m1)
sdevelo,33.08913850786124,8,48.9471057914947,7,0.6760182848974695,12,False,#d0af4c,SDEvelo
sctour_mse,31.52440769343443,9,36.96719707137057,10,0.8527670527081607,1,False,#d0af4c,scTour (MSE)
scvelo_dyn,28.519500641340404,10,40.19135047375208,9,0.7095929921530192,8,False,#d0af4c,scVelo (dyn)
unitvelo_ind,21.506585897275595,11,34.98953717866778,12,0.6146576271488269,19,False,#d0af4c,UniTVelo (ind)
velovi,20.656725049989458,12,35.11365193656366,11,0.5882818764424704,23,False,#d0af4c,veloVI
unitvelo_uni,19.29088106113453,13,29.94432367822758,14,0.6442249712642824,15,False,#d0af4c,UniTVelo (uni)
deepvelo,18.301249633627616,14,32.418521801000416,13,0.5645306638584259,25,False,#d0af4c,DeepVelo
graphvelo_std,14.893021832531206,15,21.397072388763856,16,0.6960308196345547,9,False,#d0af4c,GraphVelo (std)
kvelo,13.39392890649374,16,23.598688627537342,15,0.5675708984466342,24,False,#d0af4c,  -velo
celldancer,11.105362616004102,17,18.68098163734223,17,0.594474253633712,22,True,#38b48b,cellDancer
latentvelo_std,9.81749799796435,18,14.393496360683173,20,0.6820787494539217,10,False,#d0af4c,LatentVelo (std)
velovae_fullvb,9.578672461248301,19,15.940619297505918,18,0.6008971347020995,20,False,#d0af4c,VeloVAE (Full VB)
svelvetvae,9.358688346778965,20,14.441962012870313,19,0.6480205624719645,14,False,#d0af4c,SvelvetVAE
velovae_std,8.807801275658024,21,14.051506297395745,21,0.6268225690003377,17,True,#38b48b,VeloVAE (std)
sctour_zinb,8.075498368444057,22,11.880716469328936,22,0.6797147620929791,11,True,#38b48b,scTour (ZINB)
sctour_nb,7.329251979464883,23,11.02971526471788,24,0.6645005608539932,13,False,#d0af4c,scTour (NB)
pyrovelocity_m1,6.704348216299078,24,11.21024493671274,23,0.5980554621373902,21,False,#d0af4c,Pyro-Velocity (m1)
pyrovelocity_m2,6.484551152470648,25,10.095190419847286,25,0.6423406476535529,16,True,#38b48b,Pyro-Velocity (m2)
