Method,0,1,2
velocyto,0.8205942313463112,0.7564406883498535,0.8180084854974006
scvelo_dyn,0.6472448862979474,0.4590761515528926,0.5139729507633778
scvelo_stc,0.7344138865844838,0.6565808916051833,0.7405658636433871
veloae,0.4526095030544862,0.6421513131425516,0.4618467596556939
dynamo_m1,0.20928889769517156,0.21810282973418058,0.19999971787036708
unitvelo_ind,0.6822295101880191,0.5891645251837077,0.6725020710563605
unitvelo_uni,0.493927034005746,0.5436100303343471,0.5583888306282072
velovae_std,0.028148111142295314,0.09118233492846624,0.056241117139144405
velovae_fullvb,0.05168189451183612,0.014185147759459994,0.021118006936650738
deepvelo,0.14927074582237568,0.14845076834035323,0.3081181398256276
celldancer,0.08001798156369938,0.085102977509726,0.06247450203472906
pyrovelocity_m1,0.1295324734316052,0.11142217955564988,0.13104830132601883
pyrovelocity_m2,0.34942339861422717,0.3055695567020081,0.3675166893572741
kvelo,0.7572373562910304,0.709469095258528,0.7760721677706618
velovi,0.7131860437906228,0.6602308226772005,0.7225709262613546
sdevelo,0.7429377581628381,0.6858917952944946,0.7476878918242706
cell2fate,0.30281884795864833,0.03518923964176023,0.3369583484676725
svelvetvae,0.13615258914979336,0.14069577628355381,0.13423423394655806
latentvelo_std,0.03455047079592167,0.05090461508398569,0.03721249926312829
tivelo_std,0.08110077740556874,0.0354660796136267,0.09228845261129322
tivelo_simple,0.07963233922574242,0.03503774819025146,0.09308979472542175
sctour_mse,0.049823143568198176,0.05009442539981122,0.053046007594079604
sctour_nb,0.12029120537357023,0.10861471359179788,0.12795581626107957
sctour_zinb,0.11313666689664846,0.10635880395146866,0.12522795415804688
graphvelo_std,0.6496169579785515,0.5097898195172401,0.5543957904392656
