Method,0,1,2
velocyto,-0.3427188396453857,-0.2681565284729004,-0.171272028159971
scvelo_dyn,0.0518593974411487,-0.0301599502563476,-0.1503022623558839
scvelo_stc,-0.1196566224098205,-0.2515235245227813,-0.1879114871068547
veloae,0.4277002513408661,-0.2563940286636352,0.4132917821407318
dynamo_m1,-0.1200616359710693,-0.101492665708065,-0.1372138559818267
unitvelo_ind,0.2706188857555389,0.3567056655883789,0.2021864987909793
unitvelo_uni,-0.1716657876968383,-0.2647691369056701,0.390142068422089
velovae_std,-0.2329056710004806,-0.3302745521068573,-0.0333306302394097
velovae_fullvb,-0.296756237745285,-0.2348222285509109,0.0870392310122648
deepvelo,0.0153926955536007,0.0713016837835311,0.0623753778636455
celldancer,0.122678592801094,0.1925650089979171,-0.0124117229133844
pyrovelocity_m1,-0.0296367574483156,0.0475502796471118,0.005530331749469
pyrovelocity_m2,-0.1862843185663223,-0.0015997971640899,0.039518654346466
kvelo,-0.3229143619537353,-0.1729527860879898,-0.0989224513371785
velovi,0.4013409912586212,0.4391574561595917,0.3916771740963061
sdevelo,-0.0423574857413768,-0.0222039129585027,0.1840957030653953
cell2fate,0.1586157381534576,-0.0081744873896241,0.0313390083611011
svelvetvae,0.0003037622955162,0.0548965856432914,-0.0665567070245742
latentvelo_std,0.1360193043947219,-0.0329741835594177,0.529356837272644
latentvelo_atac,-0.0320299603044986,-0.1097527369856834,-0.1085604503750801
tivelo_std,-0.1139917522668838,0.4900488257408142,0.4916720526913802
tivelo_simple,-0.1006573513150215,0.4275071024894714,0.4220390593012174
sctour_mse,-0.0039794486947357,-0.0716057866811752,-0.0628851652145385
sctour_nb,-0.0058329105377197,-0.0247903633862733,-0.034166369587183
sctour_zinb,-0.001165602938272,-0.0385845378041267,-0.0460712648928165
multivelo,0.1703392565250396,0.4752883315086365,0.3417156611879666
graphvelo_std,0.0233859103173017,0.2776933312416076,0.0985471382737159
graphvelo_atac,-0.1352358758449554,0.2753109633922577,0.4591335654258728
