Method,0,1,2
velocyto,0.6467303363532249,0.6062969986591137,0.5592393081871909
scvelo_dyn,0.701022767609268,0.6545633568649324,0.6803351251716377
scvelo_stc,0.725854394643353,0.6654680778664037,0.703805011521665
veloae,0.8404851269496219,0.8658417334829207,0.8053378363498286
dynamo_m1,0.7061092202639845,0.5732625973402874,0.5819961447383599
unitvelo_ind,0.7029467478841054,0.6338689445957488,0.6929517748635825
unitvelo_uni,0.8052043752814768,0.8808885381349459,0.8761943986692837
velovae_std,0.5843237816690385,0.49261784127990205,0.42695746965851955
velovae_fullvb,0.8122631994388962,0.6268888772862353,0.6681619062387092
deepvelo,0.7725001898805862,0.72890053984848,0.7327560757875466
celldancer,0.8115840730736722,0.7602855748826776,0.817800742830397
pyrovelocity_m1,0.8078885280742983,0.7675016948025843,0.7911505306886409
pyrovelocity_m2,0.8645773823103109,0.8102474056884388,0.8208098049029554
kvelo,0.25864778808453015,0.3881533882409407,0.32144645267104455
velovi,0.6423190969370705,0.6432260388686369,0.7187591121931054
sdevelo,0.7871815227312116,0.7093972265873867,0.7901698147612544
cell2fate,0.6940824411295295,0.629073885283612,0.7838190964132232
svelvetvae,0.8060080437630059,0.7567656186549417,0.6608416567139034
latentvelo_std,0.8818278629743749,0.8602093328601839,0.8641368926579247
latentvelo_atac,0.562337363991712,0.34517262780204605,0.4203253783701123
tivelo_std,0.8008092336347086,0.8799920363177972,0.8130111692692915
tivelo_simple,0.6287110457757396,0.7215253168026764,0.6048806126044686
sctour_mse,0.7542973938963158,0.8283131974393516,0.7488694435233978
sctour_nb,0.8285567260644889,0.8514977026597517,0.8470155733299389
sctour_zinb,0.8405242497571449,0.7858884091650423,0.8118419735520406
multivelo,0.7882898059310064,0.612192747827129,0.6795787500817925
graphvelo_std,0.4519560315965664,0.5787586850956921,0.5913064088386762
graphvelo_atac,0.6891242664428839,0.7090186991036304,0.5833737071012182
