Method,0,1,2
velocyto,0.26748994278499494,0.8351261495839856,0.810039928194618
scvelo_dyn,0.6512305424966798,0.35596447940439985,-0.082610826
scvelo_stc,-0.186487587,0.3216103509823795,0.7105568961341221
veloae,0.847281503185778,0.8019463221315939,0.6882617667823371
unitvelo_ind,0.8989253922565005,0.8095420701623668,-0.312497359
unitvelo_uni,-0.392556959,0.42961034504388246,0.6901653073952886
velovae_std,0.009561032779710507,0.06699878712456617,0.4349384752523317
velovae_fullvb,0.0729167672064955,0.028729899476879373,0.5913934312447506
deepvelo,0.016906380489009467,0.08315527370802396,-0.444764786
celldancer,0.7689482602013246,0.0915125704336154,0.41180391975863895
pyrovelocity_m1,0.13144760370372643,0.05729478415438601,0.2072428424909895
pyrovelocity_m2,-0.284308605,-0.217295241,-0.343234791
kvelo,0.19532725909849763,0.6943796032824059,0.5250252800696594
velovi,0.3151872332564974,0.2569969935820047,-0.014429963
sdevelo,0.029228293101966205,0.06820781490707498,-0.099862288
cell2fate,-0.020846666,-0.071522041,0.022699469211419084
svelvetvae,0.0387541507820837,0.011210802485530693,0.04081868227523896
latentvelo_std,0.6189689334105334,0.6750749858260289,0.6639581914266646
tivelo_std,-0.057728711,-0.035932293,0.60123598490585
tivelo_simple,-0.05503948,-0.026634942,0.6254943023204593
sctour_mse,0.0021030904571766465,0.022959792060111596,0.06540793887336226
sctour_nb,-0.543103674,-0.479885709,-0.576305608
sctour_zinb,-0.413969808,-0.532012266,-0.466552325
velvetvae,0.05598729586148364,0.054684989106551445,0.05075635768137961
graphvelo_std,0.742754101438263,0.5850901365645166,0.8032138182117723
dynamo_m1,0.27302512987975996,0.03919833839255449,0.7963854205486705
dynamo_m2,-0.371301369,0.5964796153944637,0.5668779480669717
