Method,time_1000(sec),time_5000(sec),time_10000(sec),time_50000(sec),time_100000(sec),time_500000(sec),time_1000000(sec),mem_1000(MB),mem_5000(MB),mem_10000(MB),mem_50000(MB),mem_100000(MB),mem_500000(MB),mem_1000000(MB)
velocyto,4.621517077088356,5.053940251935273,6.074821463786066,14.422812970355151,16.79861489497125,129.90454658400267,,89.03221893310547,432.7998142242432,860.6720123291016,4289.076244354248,8570.102851867676,42851.91308689117,
scvelo_dyn,31.25087771,89.39935521,375.3054838,1696.892546,3442.884606,,,419.8942308,2001.187795,3974.09907,20425.79381,37883.66189,,
scvelo_stc,5.182509113103151,7.446295637637377,11.319818947929887,36.39115546317771,66.422128402628,420.5880689630285,,132.52926540374756,649.9518766403198,1389.9052734375,6155.881387710571,12303.620852470398,61519.29621887207,
veloae,384.5918509480544,578.5841536489315,1036.082904453855,4403.738077260088,8918.463310720865,,,265.7880859375,1324.96728515625,2661.845703125,13589.65283203125,27346.86962890625,,
dynamo_m1,50.726331666111946,161.7162480428815,313.8586416929029,1694.2863580631092,4793.435681913048,,,648.4501295089722,3133.553329467773,6213.939635276794,30873.84709262848,61678.02263641357,,
pyrovelocity_m1,86.64733488857746,322.4809584990144,495.2756742686033,2062.88467296958,,,,1384.0234375,1445.16845703125,1445.38525390625,1447.21484375,,,
pyrovelocity_m2,95.89997518062592,325.4335689917207,476.6336515918374,1885.729791842401,,,,1384.0234375,1445.16845703125,1445.38525390625,1447.21484375,,,
unitvelo_uni,156.41213973984122,203.78242611605677,702.4827911229804,,,,,252.60986328125,1097.45947265625,2091.55859375,,,,
unitvelo_ind,199.1293761949055,522.2638777182437,2583.338254896924,,,,,238.767822265625,1040.162841796875,2072.390625,,,,
velovae_std,76.49572038371116,585.9677621126175,934.5471224780194,5014.197075319942,12216.31866147602,,,92.572265625,240.68701171875,421.6494140625,984.3134765625,997.8505859375,,
velovae_fullvb,88.63292772136629,771.9789847917855,945.6629178719596,5289.030567393638,10959.00072212331,,,92.67041015625,240.73388671875,421.6962890625,984.3603515625,997.8740234375,,
kvelo,430.2851207787171,943.7782099377364,1758.6904187705368,10565.594014849514,29506.399478196166,,,347.7635316848755,1730.2821044921875,3457.006028175354,17275.47924232483,34546.571966171265,,
celldancer,1173.3137637749314,1472.9157985448835,2181.6968552544718,,,,,667.2760639190674,3284.740400314331,6558.759593009949,,,,
velovi,49.59259483311325,126.89510399196296,269.2885048687458,943.729971183464,1634.7393731335178,,,185.42822265625,185.42822265625,185.42822265625,185.42822265625,185.42822265625,,
latentvelo_std,200.94149461388588,1096.1262231394649,2595.920713633299,14620.026507742705,,,,78.416015625,252.51513671875,474.94921875,2307.369140625,,,
sctour_mse,53.00979607,244.058167,532.3338187,528.950009,599.8566323,252.7217383,417.9409671,38.1875,45.09375,68.12353516,259.7739258,499.8671875,2416.492188,4811.470703
sctour_nb,54.09865376,276.1090896,556.706943,603.7900662,643.1610364,678.0166819,751.0679038,82.49658203,92.45117188,92.45117188,259.9458008,500.0390625,2416.664063,4811.642578
sctour_zinb,55.93469011,283.6700184,566.8960227,636.582699,673.683276,666.1972765,740.5652142,128.6137695,146.1191406,146.1191406,261.9145508,502.0078125,2418.643066,4813.611328
deepvelo,327.0420164912939,375.84253684896976,463.60887730680406,1084.901443029754,1930.8758295336736,,,191.8056879043579,939.3215618133544,1961.841920852661,10504.146629333496,21422.74994659424,,
sdevelo,110.76029190886766,522.946542955935,545.6074064411223,599.0285847233608,701.239366626367,,,2756.2958984375,2756.2958984375,2756.2958984375,2756.2958984375,2756.2958984375,,
svelvetvae,33.92598171532154,51.99478047341108,241.4009023308754,,,,,150.80615234375,670.4951171875,1264.853515625,,,,
cell2fate,82.51428454369307,430.7880458682776,2316.24616856128,,,,,1021.48681640625,1069.62890625,1106.47509765625,,,,
tivelo_std,60.04835258,112.321893,449.1671175,,,,,322.379179,2277.384845,7844.581202,,,,
tivelo_simple,58.24925536,100.4004008,399.9573392,,,,,340.0543947,2439.974192,8540.941782,,,,
graphvelo_std,538.4452664628625,918.708875104785,1520.0170122236011,3033.6347939893603,,,,253.7525959014893,1865.7839002609253,3327.8930444717407,62426.08753585816,,,
