Method,0,1,2
velocyto,0.05857577002097379,0.06497143531813351,0.06295474536532147
scvelo_dyn,-0.066968055,-0.038030219,-0.02564233
scvelo_stc,0.04088037946988523,0.05253815757423556,0.05023090393988383
dynamo_m1,-0.004431884,-0.025867204,-0.017998786
unitvelo_ind,0.090948346838013,0.10810674559431982,0.10607964822214996
unitvelo_uni,0.0053947128346670675,0.011281044727449625,-0.002037429
velovae_std,-0.37561696,-0.38777399,-0.383165249
velovae_fullvb,-0.363377685,-0.376501197,-0.37869146
deepvelo,0.05755092544084505,0.036440292254167186,0.04341111382823594
celldancer,0.17414929181406713,0.17442918102309396,0.18618378930963725
pyrovelocity_m1,-0.213445667,-0.198373559,-0.200677159
pyrovelocity_m2,0.25163770378144723,0.2653597091330144,0.2920428254641226
kvelo,-0.056026121,-0.123537054,-0.053269733
velovi,0.2763642502769874,0.297627367958475,0.300714102915125
sdevelo,0.09588556654117149,0.0779279926252909,0.08426242693556005
cell2fate,0.01149392100866325,0.1975004782982494,-0.217911753
svelvetvae,0.19669472554513345,0.18426929507340148,0.18378110317031732
tivelo_std,0.33948121634584894,0.07222324712105171,0.09402034047292232
tivelo_simple,0.34609036800788917,0.12662968378621764,0.15086039260409484
graphvelo_std,-0.251959153,-0.296427159,-0.351168083
