Method,0,1,2
velocyto,0.16165447,0.17633262,-0.005214885
scvelo_dyn,-0.58913577,-0.34547323,-0.26160604
scvelo_stc,0.18536694,0.20260206,0.099310525
veloae,0.7282097,0.6556077,0.58358675
dynamo_m1,-0.59670997,-0.6029397,-0.5634773
unitvelo_ind,0.65248376,0.6554601,0.61883056
unitvelo_uni,-0.011724502,-0.002219394,-0.064797044
velovae_std,-0.69285315,-0.6858052,-0.6692523
velovae_fullvb,-0.7156769,-0.69022435,-0.65244794
deepvelo,0.32195306,-0.04776559,0.1417211
celldancer,0.5334765,0.49353296,0.5283792
pyrovelocity_m1,-0.68678993,-0.61542857,-0.59792984
pyrovelocity_m2,0.68785423,0.6423325,0.6516247
kvelo,-0.28129846,-0.50485945,-0.19467458
velovi,0.7074995,0.69122195,0.6629185
sdevelo,0.50460625,0.41592932,0.41063923
cell2fate,-0.60557723,0.7008132,-0.6877456
svelvetvae,0.4397521,0.45789889,0.3960114
latentvelo_std,0.63273156,0.6759356,0.64846265
tivelo_std,0.48335868,-0.5321851,-0.54380625
tivelo_simple,0.47225365,-0.49458984,-0.50839096
sctour_mse,0.7256034,0.65235186,0.70262444
sctour_nb,0.7228814,0.6967523,0.6781665
sctour_zinb,0.7212443,0.6933553,0.691562
graphvelo_std,-0.46716952,-0.56301326,-0.60632277
