Method,0,1,2
velocyto,0.7561085168731265,0.848105729004874,0.7884151250059974
scvelo_dyn,0.9111275475939226,0.8604983287531552,0.9114002491244138
scvelo_stc,0.8189536876331177,0.8759723186241014,0.8796177282744236
veloae,0.8226438866083969,0.8437796645829682,0.918579286871665
dynamo_m1,0.6395996465582053,0.720231395172851,0.6863186691258659
unitvelo_ind,0.9030172843961776,0.9034961273790781,0.9024105662852498
unitvelo_uni,0.8875430985573132,0.8936562083649706,0.8542956582689687
velovae_std,0.8998619350357983,0.8033381551496068,0.9317286425912465
velovae_fullvb,0.9257538122842148,0.9336655943058123,0.9498948349236855
deepvelo,0.748630143760117,0.8225185957651983,0.8038174013323761
celldancer,0.8140874583907257,0.8011273367861897,0.833596161696142
pyrovelocity_m1,0.8107057221837449,0.8369386438492867,0.8019513827782734
pyrovelocity_m2,0.9047920968439704,0.9025493276146807,0.9120914968893773
kvelo,0.6331023643521627,0.5796358695592517,0.5383213301902436
velovi,0.8099175574988726,0.8156250667589018,0.7880520251468135
sdevelo,0.8486589229351917,0.8448210103486785,0.879176953503273
cell2fate,0.32136034892338083,0.07756454657340324,0.2076757816703347
svelvetvae,0.756943253491698,0.8150365438139844,0.7378584555933009
latentvelo_std,0.9208575315033297,0.8928516173599351,0.8739644735243601
tivelo_std,0.8501235885693228,0.8896107574067278,0.7957212548099895
tivelo_simple,0.7290641946357876,0.8561878341046638,0.6968108750532586
sctour_mse,0.7890059247642585,0.7517807005387843,0.7267909098060672
sctour_nb,0.8042974266207144,0.8392325039144385,0.8525807917649371
sctour_zinb,0.729748115293382,0.752571001369546,0.6881054338394088
graphvelo_std,0.8313382074816936,0.5937047339238916,0.8165932477264584
