Method,0,1,2
velocyto,0.07185928523540497,-0.10146684944629669,0.1393553465604782
scvelo_dyn,-0.05573336035013199,-0.18307790160179138,0.028303727507591248
scvelo_stc,-0.05501841753721237,-0.0995970144867897,-0.07539723999798298
veloae,-0.03866468742489815,-0.343447670340538,-0.2627529799938202
dynamo_m1,-0.12492350488901138,-0.506048321723938,0.1973743475973606
unitvelo_ind,0.021831726655364037,-0.09514512121677399,-0.2044665776193142
unitvelo_uni,-0.5852762460708618,0.6879352927207947,0.3435959368944168
velovae_std,-0.19401255249977112,-0.17133264243602753,-0.12205126695334911
velovae_fullvb,-0.3934729993343353,-0.39105409383773804,-0.11299658194184303
deepvelo,-0.3552113473415375,-0.33266574144363403,-0.16042647138237953
celldancer,-0.06009874865412712,-0.2167472541332245,-0.241348497569561
pyrovelocity_m1,-0.17793874442577362,-0.06347224861383438,-0.2588825859129429
pyrovelocity_m2,0.3784273862838745,0.41207918524742126,0.28409767150878906
kvelo,-0.01878250762820244,0.19729427993297577,-0.14847963117063046
velovi,-0.024594981223344803,0.46378159523010254,0.31555747240781784
sdevelo,-0.2723037600517273,-0.3744943141937256,-0.10693972557783127
cell2fate,-0.21862325072288513,-0.28098177909851074,-0.457213819026947
svelvetvae,0.3100239932537079,0.37413889169692993,0.11873090267181396
latentvelo_std,0.4846348166465759,0.5280894041061401,0.47569483518600464
tivelo_std,0.37128910422325134,0.5538492798805237,0.12061388045549393
tivelo_simple,0.31770190596580505,0.5030351281166077,0.06326184421777725
sctour_mse,-0.3463561534881592,-0.43243545293807983,-0.2941279634833336
sctour_nb,-0.35272544622421265,-0.43964284658432007,-0.3045790418982506
sctour_zinb,-0.3691151738166809,-0.4446229934692383,-0.2932843044400215
graphvelo_std,0.5672839879989624,0.30836015939712524,0.4676543176174164
