Method,0,1,2,3,4
velocyto,0.2684211,0.22860657,0.32354334,0.293242,0.25329217
scvelo_dyn,0.08169061,-0.16764279,0.14306492,0.09558037,0.3569415
scvelo_stc,0.29983908,0.3516065,0.3712309,0.29612383,0.23052187
veloae,-0.27412248,-0.2637169,-0.33698088,-0.14453626,-0.31840518
dynamo_m1,0.3065557,0.2650968,0.37011334,0.13035801,0.17416877
unitvelo_ind,0.39052165,0.092308,0.29804093,0.17617345,0.31406057
unitvelo_uni,0.019632846,-0.080266856,-0.28038955,-0.061497018,-0.047199592
velovae_std,0.23177858,-0.15048069,0.20882435,0.07981859,0.29143763
velovae_fullvb,0.42413548,0.20849031,0.26595318,0.4428959,0.3728551
deepvelo,0.2556342,0.1796179,0.21481802,0.17074025,0.26175535
celldancer,0.22362575,0.29044437,0.27374935,0.118908525,0.13288741
pyrovelocity_m1,0.2818579,0.281045,0.28516757,0.08710497,0.18130395
pyrovelocity_m2,-0.0005182475,0.020052314,0.01748316,0.006562352,0.07686818
kvelo,-0.017570049,-0.00017542765,0.10584772,0.0031987294,0.02134033
velovi,0.20479962,0.20278025,0.18439907,0.17966679,0.12478526
sdevelo,0.29637098,0.3068486,0.34285834,0.070108384,0.1041318
cell2fate,-0.0019513071,0.24404137,0.07016429,-0.108507656,-0.10790952
svelvetvae,-0.078259975,0.048846796,0.18922937,-0.10352761,0.06882101
latentvelo_std,0.048254296,-0.29045647,-0.026308596,0.07991198,0.06872396
tivelo_std,-0.15615922,-0.18688373,-0.32065755,0.347098,-0.15455748
tivelo_simple,-0.17967951,-0.18574381,-0.33040792,0.3059898,-0.18212616
sctour_mse,-0.022308215,-0.051887617,0.27204937,0.00946632,0.08429313
sctour_nb,-0.013542473,-0.033682376,-0.021616042,-0.00087055564,0.028366402
sctour_zinb,-0.017438397,-0.05294746,-0.08957668,-0.025927499,-0.045531765
graphvelo_std,-0.14192405,-0.29518116,-0.18323363,0.17879266,-0.1506769
