Method,0,1,2,3,4
velocyto,0.13627401275171444,0.34891593976903124,0.3466334384827118,0.32279646041174026,0.35204821165549505
scvelo_dyn,-0.4172104,-0.497271774,-0.470730315,-0.438925734,0.36800726359085173
scvelo_stc,-0.085359094,-0.117565609,0.3528679451925829,0.08466002043316229,-0.467164559
veloae,0.24802262082172954,-0.596020668,-0.494535195,0.05880668109792697,0.45492376417586744
dynamo_m1,-0.256383526,-0.537144164,-0.451282746,-0.663149451,-0.691704487
unitvelo_ind,-0.540378927,-0.376595888,-0.372662824,-0.344430703,-0.592145037
unitvelo_uni,0.5886030789899664,0.6001030714281195,0.6042518231505191,0.5562479377038931,0.6210753540806767
velovae_std,-0.135723898,-0.185884526,-0.184221194,-0.510864422,-0.076429513
velovae_fullvb,-0.117836808,-0.183130276,-0.121856025,-0.486489798,-0.176359407
deepvelo,0.14514154128645804,-0.002531613,-0.287254937,-0.323856319,-0.109739703
celldancer,0.04590986977021836,0.3988613460193677,-0.24979034,0.35149553370942954,0.34062943883025737
pyrovelocity_m1,-0.336611771,-0.35660808,-0.333884074,-0.29329337,-0.318458882
pyrovelocity_m2,0.09425301742355195,0.020849836591796386,0.18718283573928157,0.10150557998175844,0.11655502707351552
kvelo,-0.012154953,-0.067010726,-0.474782153,-0.472802491,-0.538453269
velovi,-0.438905072,-0.392920491,-0.376327372,-0.444091648,-0.484364005
sdevelo,0.28300713146078194,0.18784972153214402,0.03038967415861554,-0.16472239,0.018579333783065505
cell2fate,0.24566776525030448,0.21133812083844952,0.48123409873584044,0.1941245597665896,0.2828402703000996
svelvetvae,0.22246433970016274,0.3086813518426337,0.3470392207560952,0.3527237902249836,0.40706026973451487
latentvelo_std,0.5439720425567918,0.5626610570251412,0.6561438343481271,0.350672600922598,0.389780490018173
tivelo_std,-0.472785193,-0.037828888,-0.475871824,-0.431324952,0.13889743126154008
tivelo_simple,-0.452198365,-0.038913176,-0.472430488,-0.433578777,0.12216584254873268
sctour_mse,-0.413199985,-0.397240139,-0.419589294,-0.431704186,-0.410048485
sctour_nb,-0.406897603,-0.423513617,-0.406392823,-0.395349083,-0.396317234
sctour_zinb,-0.455799392,-0.406804034,-0.412189651,0.4058112823407405,-0.393884378
graphvelo_std,-0.17681394,-0.370784861,-0.471879045,-0.575963239,0.5881996065312151
