Method,EES_mean,EES_rank,mc_mean,mc_rank,expKL_mean,expKL_rank,mc_matches_ees,point_color,Method_display,dataset
cell2fate,334.53806501634216,1,869.727667676099,1,0.3846469158676112,22,True,#38b48b,cell2fate,data17
sdevelo,224.01577000370534,2,307.35218184269297,2,0.7288569375387082,2,True,#38b48b,SDEvelo,data17
veloae,181.70595158926443,3,225.94884042374397,3,0.8041906798392657,1,True,#38b48b,VeloAE,data17
dynamo_m1,149.00265957040284,4,220.2089120688946,4,0.6766422765114332,6,True,#38b48b,Dynamo (m1),data17
tivelo_simple,78.09646441158219,5,110.90309498611127,6,0.7041865190629932,4,False,#d0af4c,TIVelo (simple),data17
tivelo_std,59.09742366374543,6,89.84969141054523,7,0.6577365234757996,7,False,#d0af4c,TIVelo (std),data17
kvelo,55.932909567035225,7,110.9048445704858,5,0.5043324282510215,13,False,#d0af4c,  -velo,data17
velocyto,49.027825158306754,8,76.07431715449813,10,0.6444727602186283,11,False,#d0af4c,Velocyto,data17
scvelo_stc,44.48918055517553,9,68.95020673220134,11,0.6452363620600727,10,False,#d0af4c,scVelo (stc),data17
unitvelo_uni,39.9170355389173,10,84.71764199589074,9,0.47117736752934514,16,False,#d0af4c,UniTVelo (uni),data17
sctour_mse,33.46008423485624,11,46.80331841205831,13,0.7149083733822525,3,False,#d0af4c,scTour (MSE),data17
unitvelo_ind,32.380363963391645,12,85.26699309423068,8,0.37975261925335274,23,False,#d0af4c,UniTVelo (ind),data17
celldancer,25.308008334527543,13,68.06556733202932,12,0.37181807669468236,24,False,#d0af4c,cellDancer,data17
latentvelo_std,22.05691063140772,14,33.67426567158249,16,0.6550079175155233,8,False,#d0af4c,LatentVelo (std),data17
scvelo_dyn,16.44175815209335,15,40.765417322508064,15,0.4033261335709486,19,True,#38b48b,scVelo (dyn),data17
deepvelo,15.078614752969239,16,43.181756027000965,14,0.34918947584115817,25,False,#d0af4c,DeepVelo,data17
svelvetvae,13.712643536198707,17,26.470614867772902,18,0.5180326790554985,12,False,#d0af4c,SvelvetVAE,data17
