Method,EES_mean,EES_rank,mc_mean,mc_rank,expKL_mean,expKL_rank,mc_matches_ees,point_color,Method_display
cell2fate,334.53806501634216,1,869.727667676099,1,0.3846469158676112,22,True,#38b48b,cell2fate
sdevelo,224.01577000370534,2,307.35218184269297,2,0.7288569375387082,2,True,#38b48b,SDEvelo
veloae,181.70595158926443,3,225.94884042374397,3,0.8041906798392657,1,True,#38b48b,VeloAE
dynamo_m1,149.00265957040284,4,220.2089120688946,4,0.6766422765114332,6,True,#38b48b,Dynamo (m1)
tivelo_simple,78.09646441158219,5,110.90309498611127,6,0.7041865190629932,4,False,#d0af4c,TIVelo (simple)
tivelo_std,59.09742366374543,6,89.84969141054523,7,0.6577365234757996,7,False,#d0af4c,TIVelo (std)
kvelo,55.932909567035225,7,110.9048445704858,5,0.5043324282510215,13,False,#d0af4c,  -velo
velocyto,49.027825158306754,8,76.07431715449813,10,0.6444727602186283,11,False,#d0af4c,Velocyto
scvelo_stc,44.48918055517553,9,68.95020673220134,11,0.6452363620600727,10,False,#d0af4c,scVelo (stc)
unitvelo_uni,39.9170355389173,10,84.71764199589074,9,0.47117736752934514,16,False,#d0af4c,UniTVelo (uni)
sctour_mse,33.46008423485624,11,46.80331841205831,13,0.7149083733822525,3,False,#d0af4c,scTour (MSE)
unitvelo_ind,32.380363963391645,12,85.26699309423068,8,0.37975261925335274,23,False,#d0af4c,UniTVelo (ind)
celldancer,25.308008334527543,13,68.06556733202932,12,0.37181807669468236,24,False,#d0af4c,cellDancer
latentvelo_std,22.05691063140772,14,33.67426567158249,16,0.6550079175155233,8,False,#d0af4c,LatentVelo (std)
scvelo_dyn,16.44175815209335,15,40.765417322508064,15,0.4033261335709486,19,True,#38b48b,scVelo (dyn)
deepvelo,15.078614752969239,16,43.181756027000965,14,0.34918947584115817,25,False,#d0af4c,DeepVelo
svelvetvae,13.712643536198707,17,26.470614867772902,18,0.5180326790554985,12,False,#d0af4c,SvelvetVAE
velovi,10.700133765409813,18,27.309012924424717,17,0.3918169358600213,21,False,#d0af4c,veloVI
velovae_std,10.320392935493366,19,25.899947915689687,19,0.3984715710274256,20,True,#38b48b,VeloVAE (std)
sctour_nb,10.23451688544421,20,14.888272141067944,24,0.6874214004466795,5,False,#d0af4c,scTour (NB)
pyrovelocity_m2,9.76631253608007,21,20.03448815314102,21,0.48747502114492014,14,True,#38b48b,Pyro-Velocity (m2)
sctour_zinb,9.661527645396319,22,14.782638874474651,25,0.6535725946792211,9,False,#d0af4c,scTour (ZINB)
pyrovelocity_m1,9.511662160677535,23,20.677314464259894,20,0.46000471565677215,17,False,#d0af4c,Pyro-Velocity (m1)
graphvelo_std,9.294729834105285,24,19.561473423590012,22,0.4751548941551803,15,False,#d0af4c,GraphVelo (std)
velovae_fullvb,7.87683443129125,25,18.082761473973097,23,0.4355990893663308,18,False,#d0af4c,VeloVAE (Full VB)
