Method,0,1,2,3,4
sctour_mse,0.530928542,0.491093918,0.493353114,0.172789707,0.503090816
sctour_nb,0.532361211,0.545876464,0.537362195,0.542412906,0.533545735
sctour_zinb,0.527114036,0.53347263,0.532172341,0.544931042,0.544672147
velocyto,0.515518055,0.430018525,0.501461103,0.426876533,0.509029318
scvelo_stc,0.477257506,0.432143743,0.428606746,0.434435191,0.42038211
velovi,0.516115722,0.515445301,0.51644465,0.511569274,0.512909757
sdevelo,0.512437022,0.5158783,0.515927314,0.506805963,0.509795326
velovae_fullvb,0.494272974,0.489662872,0.490210313,0.487745737,0.486652301
deepvelo,0.562216901,0.372500398,0.372595,0.369067356,0.440039876
velovae_std,0.495082873,0.493998108,0.490873539,0.487193056,0.489017601
