Method,0,1,2,3,4
velocyto,0.19052014,0.20272985,0.48722515,0.42794666,0.4948221
scvelo_dyn,0.15923765,0.16890618,0.53146636,0.46274477,0.4294578
scvelo_stc,0.22563402,0.1785183,0.2941522,0.24387002,0.2611556
veloae,0.14493118,0.266244,0.32572442,0.17715606,0.16226444
dynamo_m1,0.1252567,-0.09298624,0.30214548,0.4816483,0.46809286
unitvelo_ind,-0.03419894,0.18618083,0.5834961,0.56559336,0.6245571
unitvelo_uni,0.030352795,-0.020341992,-0.014437998,0.07366351,0.025589049
velovae_std,0.12905641,0.112182714,-0.008342028,-0.2599309,-0.027564442
velovae_fullvb,0.10486263,-0.16577381,-0.3406125,0.22116327,-0.016739298
deepvelo,-0.18131907,-0.021089291,0.42714667,0.29168397,0.26966327
celldancer,0.30970636,0.20948473,0.34022266,0.32197115,0.4042793
pyrovelocity_m1,0.28470406,0.22483464,0.021255124,0.28599066,0.12037607
pyrovelocity_m2,-0.2084944,-0.2930587,0.05246393,0.20195536,0.044439852
kvelo,0.021511054,-0.1690295,-0.209734,0.19577369,0.2174339
velovi,0.18755662,0.5859915,0.6311531,0.562105,0.4225894
sdevelo,0.071011975,0.04516197,0.079972506,0.13759515,0.10551132
cell2fate,0.5128366,0.37902883,-0.023299778,0.5672432,0.2724606
svelvetvae,-0.34556565,-0.1965421,-0.18312283,-0.176879,-0.1568005
latentvelo_std,-0.39527026,-0.20191768,0.43843016,0.20352086,0.08927937
tivelo_std,0.045915224,0.53481394,0.61638296,0.3643667,0.13153294
tivelo_simple,-0.027280618,0.47508985,0.5617225,0.30377024,0.104718685
sctour_mse,0.2753889,-0.3386255,-0.3343893,0.06901379,0.19171682
sctour_nb,0.0823427,0.34459442,-0.07037275,-0.24502286,-0.06211611
sctour_zinb,0.104975656,-0.2766878,-0.116980985,0.016673243,-0.034877647
graphvelo_std,0.11652313,0.21770692,0.2939213,0.013800442,-0.060848363
