Method,0,1,2
velocyto,0.9340620879998991,0.9361667487870862,0.9332194873673411
scvelo_dyn,0.9096175327390518,0.9109543161861131,0.9065645540948601
scvelo_stc,0.9405734297470032,0.9438839222293128,0.9440912457049525
veloae,0.8290328420448231,0.8337566754918276,0.8414239156377802
dynamo_m1,0.7873915804121129,0.7789762877432913,0.7854625244199394
unitvelo_ind,0.9241766545177528,0.9203674389441651,0.9168452796091565
unitvelo_uni,0.7083934853642141,0.7956572927200366,0.8232703464338754
velovae_std,0.054399683792509076,0.06418961375797637,0.09704300956920185
velovae_fullvb,0.05181012273750895,0.0787527199242699,0.08329195454530876
deepvelo,0.8264745880998042,0.8660461977702697,0.8583039301584069
celldancer,0.18351134833030058,0.18541100526822346,0.18869744857498044
pyrovelocity_m1,0.8184285712773576,0.8351731270228806,0.8279547204123383
pyrovelocity_m2,0.8276778244899059,0.8359157992189249,0.8250120029548854
kvelo,0.844100572916657,0.9391109837633477,0.9276509106545986
velovi,0.9104967909052211,0.9148942112632509,0.8978285006027237
sdevelo,0.9182715285082569,0.9306485799740164,0.917609572226972
cell2fate,0.555041180963181,0.6777385149516273,0.7946049570685166
svelvetvae,0.3945091409706499,0.273603116932339,0.3615419612178586
latentvelo_std,0.7825272700885867,0.7741319328682229,0.7057931803125538
tivelo_std,0.706835677953737,0.6965030845631666,0.6868124636494579
tivelo_simple,0.5897751671332995,0.5482157834410943,0.5339931516192138
sctour_mse,0.595465335744932,0.5082234880891248,0.6816224472855628
sctour_nb,0.754690170369607,0.72806475810371,0.734530527102208
sctour_zinb,0.5850308871632669,0.4471189247852117,0.7419301924015689
graphvelo_std,0.8372337945608073,0.8298198513942994,0.8307171428992343
