Method,0,1,2
velocyto,0.7222824755207055,0.7485604940347103,0.6996650709855414
scvelo_dyn,0.6755587964836313,0.750162978168451,0.7665938796960788
scvelo_stc,0.7020187328199529,0.6821715411931659,0.7071748049998904
veloae,0.8916098268043889,0.7654063686860024,0.8053471831471415
dynamo_m1,0.5161697130737305,0.5992489528400146,0.5969018809389547
unitvelo_ind,0.790226415102061,0.8853554331021929,0.808149744486769
unitvelo_uni,0.9353114489650801,0.9535326336496511,0.9368405688876095
velovae_std,0.3643263671272937,0.40065474644857313,0.3542047928740567
velovae_fullvb,0.44998305095083946,0.5601419116466827,0.6087260416170875
deepvelo,0.6515073988010543,0.63491317960241,0.7419010274233376
celldancer,0.7857825113756037,0.7168074391679855,0.6573763143815993
pyrovelocity_m1,0.747060522464366,0.7561038161321886,0.7793562141202971
pyrovelocity_m2,0.8308325866589118,0.8320334314634626,0.8436379774770562
kvelo,0.5323147201539581,0.5915354893928646,0.4842086948576578
velovi,0.640875135424112,0.6730566794753516,0.5429844878859894
sdevelo,0.7560146681797569,0.7539571667006765,0.7624459588289823
cell2fate,0.6062904389990093,0.5892836119568463,0.6499390897330107
svelvetvae,0.6159413570032619,0.6862721697415557,0.5430675435821951
latentvelo_atac,0.9452744626146401,0.9393310748187865,0.943102346210558
latentvelo_std,0.9143097725466843,0.9159590539402506,0.9265229620467691
tivelo_std,0.6847682807700727,0.7630251300040939,0.8115212053624001
tivelo_simple,0.6521228652956739,0.7238739420383796,0.7838216914542598
sctour_mse,0.7773607973474387,0.7625267114878255,0.7684195320457251
sctour_nb,0.8723944389961004,0.872342009308145,0.9024007389667866
sctour_zinb,0.8946769675874193,0.867719951104356,0.9364311632011681
multivelo,0.7208557103841776,0.7349426950356976,0.6666312119101638
graphvelo_std,0.6695875324082108,0.6407048552616376,0.6928954227705486
graphvelo_atac,0.7777137847699457,0.5965414461231463,0.7757157986400239
