Method,0,1,2
velocyto,-0.183043092,-0.132552907,-0.157945505
scvelo_dyn,0.0007834686736997073,0.1495400554025663,0.09302765011492099
scvelo_stc,-0.24519206,-0.210399463,-0.221861667
veloae,-0.433180371,-0.418629748,0.3218436070389762
dynamo_m1,-0.237858037,-0.219568799,-0.249186744
unitvelo_ind,0.22807375652084336,0.2767056194671991,0.2508696588918444
unitvelo_uni,0.14889841320423006,0.24320744981534714,0.20933857330520525
velovae_std,0.06442749673403143,-0.166676076,-0.290282042
velovae_fullvb,-0.182984801,-0.154037094,-0.254576011
deepvelo,0.11193178503372408,0.023465296283994356,-0.272653133
celldancer,0.23615542503847242,0.21699739901843615,0.2450585809051847
pyrovelocity_m1,-0.177053568,-0.101086574,-0.195284142
pyrovelocity_m2,0.26905277867673094,0.306039224383134,0.3924584504199175
kvelo,0.09217212750067344,0.16461932745804808,-0.059037753
velovi,-0.202971427,-0.190867554,-0.314043522
sdevelo,0.20056315271633188,0.13654864083364673,0.1163004458242544
cell2fate,-0.233883319,-0.143321317,-0.0076403
svelvetvae,0.026035300187436373,-0.007017918,0.05249686263341577
latentvelo_atac,-0.065024294,0.05037144362728385,-0.074202121
latentvelo_std,0.042846810479113706,-0.010474291,0.03575722695136046
tivelo_std,-0.009222429,-0.203899759,0.09887428695146089
tivelo_simple,-0.030743648,-0.240432554,0.06440305450446918
sctour_mse,0.2640312103963785,0.20142816524956672,0.30053954273688466
sctour_nb,0.19063293797492845,0.07854699888478835,0.2210290904471449
sctour_zinb,0.10790718211219726,0.14402363341776867,0.19852087013277664
multivelo,-0.14169313,0.05538423567369363,-0.237812813
graphvelo_std,-0.115462179,-0.030753938,-0.118018294
graphvelo_atac,-0.1474535,-0.068280473,-0.145234292
