Method,GD,DL1,DL2,overall_mean,rank
UniTVelo (ind),0,0,3,0.630465451,1
SvelvetVAE,1,1,1,0.620307363,2
LatentVelo,1,1,1,0.601200698,3
veloVI,1,1,1,0.591639268,4
cellDancer,0,1,2,0.588725399,5
Pyro-Velocity (m2),1,0,3,0.577415931,6
VeloAE,1,1,2,0.573248812,7
Velocyto,0,0,3,0.573063363,8
TIVelo,0,0,3,0.566021295,9
scVelo (stc),0,0,3,0.562971238,10
TIVelo (simple),0,0,3,0.556221837,11
UniTVelo (uni),1,0,3,0.551615601,12
GraphVelo,0,0,3,0.505694774,13
scTour (ZINB),1,1,1,0.499139558,14
scTour (NB),1,1,1,0.497195803,15
DeepVelo,1,1,2,0.484928758,16
  -velo,0,0,3,0.475974481,17
VeloVAE (Full VB),1,1,1,0.473205455,18
VeloVAE,1,1,1,0.464035628,19
scTour (MSE),1,1,1,0.461061558,20
Dynamo (m1),0,0,3,0.454712807,21
SDEvelo,1,0,3,0.452923334,22
scVelo (dyn),0,0,3,0.44903934,23
Pyro-Velocity (m1),1,0,3,0.448512199,24
cell2fate,1,0,3,0.417171298,25
