Method,0,1,2
velocyto,0.077797934,0.0922785,0.039339967
scvelo_dyn,-0.30694392,-0.16862836,-0.12803519
scvelo_stc,0.09805349,0.12969558,0.08152312
veloae,0.25773776,0.23525852,0.22133514
dynamo_m1,-0.19958168,-0.2358668,-0.2205393
unitvelo_ind,0.29893437,0.30737785,0.30007613
unitvelo_uni,-0.012270473,4.5008957e-05,-0.027607761
velovae_std,-0.3265468,-0.316265,-0.31028438
velovae_fullvb,-0.32863972,-0.31228134,-0.30686268
deepvelo,0.14056778,-0.025392689,0.06613091
celldancer,0.22773618,0.20603932,0.23159522
pyrovelocity_m1,-0.33102858,-0.27986044,-0.29067856
pyrovelocity_m2,0.32917297,0.2882691,0.3019269
kvelo,-0.12233089,-0.22630534,-0.09235901
velovi,0.31457153,0.30517578,0.3011264
sdevelo,0.19923666,0.16487776,0.18273804
cell2fate,0.1025255,0.36705634,-0.34980935
svelvetvae,0.13547893,0.11058309,0.12746684
latentvelo_std,0.2585367,0.2925677,0.26462996
tivelo_std,0.27500582,-0.20541292,-0.21748105
tivelo_simple,0.27829725,-0.17088628,-0.17492302
sctour_mse,0.33336976,0.3017113,0.3330189
sctour_nb,0.33090425,0.33066058,0.3108557
sctour_zinb,0.3290286,0.3342349,0.3229037
graphvelo_std,-0.2460329,-0.27335933,-0.3013503
