Method,0,1,2
velocyto,0.5397304157556091,0.5764251643092346,0.5931234900641413
scvelo_dyn,0.7959451178761336,0.7497321773053013,0.6848013217914029
scvelo_stc,0.5512285158994714,0.5513547971174841,0.5795820796400272
veloae,0.8916244704011629,0.8720661314413081,0.8674426008460367
dynamo_m1,0.7916645454884629,0.7933605913676482,0.7915467223855253
unitvelo_ind,0.9266959750710984,0.9284466834513904,0.9252058590900306
unitvelo_uni,0.8876228082206005,0.8625309122194252,0.8567809017369126
velovae_std,0.885329895773272,0.9068050525787796,0.9054903003211928
velovae_fullvb,0.9321841418804715,0.9231593322495761,0.9248111191384758
deepvelo,0.6846209885585252,0.7152787648278416,0.691678525906336
celldancer,0.5243809046001747,0.48644743920720057,0.586733745320883
pyrovelocity_m1,0.859346079951124,0.8383772269624814,0.847901105931158
pyrovelocity_m2,0.864864142268701,0.8458335827471055,0.8572760637115551
kvelo,0.4139797891495062,0.6152243906697349,0.36211645532047604
velovi,0.9139249492463521,0.9141150480319153,0.9133028228555693
sdevelo,0.796064614493009,0.7796495981774205,0.7986954426355959
cell2fate,0.6158443844235337,0.9189967291680876,0.9144998935749905
svelvetvae,0.7786398920300295,0.7679759297968827,0.7931720138480541
latentvelo_std,0.8620558377288685,0.8924171552532456,0.8900236540605843
tivelo_std,0.7099079180387473,0.6825842416398451,0.7126973053752204
tivelo_simple,0.6144267733452842,0.580508367852514,0.5971889249000483
sctour_mse,0.9229113960357045,0.8941818537740905,0.9111757431105356
sctour_nb,0.8718986536987441,0.8670095856444922,0.8423699079878197
sctour_zinb,0.8865417468715371,0.8859633459506415,0.8839891174939243
graphvelo_std,0.7477930243911333,0.7673926363651545,0.7840216336650997
