Method,0,1,2
velocyto,0.8230936,0.81169623,0.8311907
scvelo_dyn,0.8652441,0.8771798,0.86876583
scvelo_stc,0.8266159,0.8192622,0.83822346
dynamo_m1,0.8123046,0.8231864,0.82964766
unitvelo_ind,0.9951056,0.995927,0.995823
unitvelo_uni,0.95871717,0.9406619,0.9467653
velovae_std,0.9212223,0.94308835,0.9394499
velovae_fullvb,0.98810685,0.97874326,0.9808903
deepvelo,0.8867259,0.87679386,0.8441671
celldancer,0.61876553,0.61134344,0.6372845
pyrovelocity_m1,0.97997504,0.9797856,0.98096335
pyrovelocity_m2,0.9897253,0.9902898,0.98983353
kvelo,0.5589061,0.66798055,0.47193366
velovi,0.9838888,0.98346806,0.98267305
sdevelo,0.9819647,0.9815046,0.9801981
cell2fate,0.888251,0.94899714,0.95620185
svelvetvae,0.99988544,0.99985516,0.9998633
tivelo_std,0.5634411,0.5399771,0.5582341
tivelo_simple,0.36491543,0.33398187,0.34471524
graphvelo_std,0.78734845,0.8162856,0.8306519
