Method,0,1,2
velocyto,-0.456554749,0.8114338153367108,-0.738766709
scvelo_dyn,-0.808679173,-0.831398677,-0.826681482
scvelo_stc,0.8108666288279874,0.8112257696846508,-0.438577898
veloae,-0.827462998,-0.800858864,-0.737037652
dynamo_m1,-0.431120097,0.11371217011835014,-0.465921437
unitvelo_ind,-0.544847736,0.6895873414791781,-0.819315267
unitvelo_uni,0.8082207006369635,0.836357589658748,0.8177620351078737
velovae_std,-0.827104977,-0.831372019,-0.839449133
velovae_fullvb,-0.824459985,-0.832281237,-0.83693151
deepvelo,0.8112822674660978,0.81099757953475,-0.526674636
celldancer,0.8057688996439699,0.7220072728884027,0.2709303672732073
pyrovelocity_m1,-0.807133803,-0.812627839,-0.818003736
pyrovelocity_m2,0.8058085737925906,0.8101406190571093,0.8153318399845597
kvelo,-0.727245296,-0.832413435,-0.694787763
velovi,0.8323562951399814,-0.817467397,-0.84631858
sdevelo,0.8163006384208691,0.8245080300434623,0.828913695956909
cell2fate,-0.800796168,0.7994001825575899,-0.815847333
svelvetvae,0.7932957916021143,0.8071190760759434,0.8065151444321607
latentvelo_std,0.43549705018327284,0.8254113746211442,0.6253324114112009
tivelo_std,-0.355820955,0.8138277662830393,-0.525276865
tivelo_simple,-0.35697284,0.8153542277466689,-0.528803825
sctour_mse,0.20228238634634194,-0.039474008,-0.302900629
sctour_nb,0.7973192007150748,0.8020348416260135,0.8117350389308164
sctour_zinb,0.8016074366172116,0.805062516853684,0.812351154805619
graphvelo_std,-0.800243876,-0.818893311,-0.815575929
