Method,0,1,2
velocyto,0.5077714811554965,0.6923420599824363,0.3638219468020143
scvelo_dyn,0.2904646968826665,0.3167670582001975,0.27467468170086556
scvelo_stc,0.7219003829585295,0.7053958723557915,0.5344239168119054
veloae,0.31984242151770276,0.2782900828769413,0.35197019199597807
dynamo_m1,0.5255787064983638,0.5714423033307168,0.46503106141839523
unitvelo_ind,0.467708962326092,0.6881311527421149,0.341655281720261
unitvelo_uni,0.6705360238493946,0.6794240610704184,0.6744123163007129
velovae_std,0.3262577155202748,0.32410847331770487,0.3376245319515386
velovae_fullvb,0.34190570338238846,0.3211938964340033,0.33632949646121685
deepvelo,0.7066908185434974,0.699764566970878,0.484521451288555
celldancer,0.7169680104872218,0.6079869547991642,0.5576640250924004
pyrovelocity_m1,0.3017939485843027,0.3129875101624349,0.2745548936426507
pyrovelocity_m2,0.6395101420802751,0.666650162836984,0.6699013072528256
kvelo,0.38871950698769364,0.30628323906105825,0.41898548185446205
velovi,0.7129792661797029,0.29287811655653173,0.2811204495164127
sdevelo,0.5047987912097154,0.6129088581409973,0.5875627145083953
cell2fate,0.30146698000166977,0.6915956074410464,0.30519403433144043
svelvetvae,0.6957085407343054,0.7306472562780765,0.7135206473905021
latentvelo_std,0.5844304932710253,0.7357842105512127,0.6253998758429401
tivelo_std,0.5591301122885431,0.7190577050999737,0.5131510339770637
tivelo_simple,0.5614320456654499,0.7195476618546449,0.5157392144081548
sctour_mse,0.014068189341277721,0.5295345024934409,0.4280743010872216
sctour_nb,0.6540121501811629,0.6614784008530759,0.664888286484855
sctour_zinb,0.6539379591858206,0.666491815601017,0.6626315078412625
graphvelo_std,0.3173746242737461,0.31212480302902723,0.28814171257724536
