Method,0,1,2,3,4
velocyto,-0.111870424,-0.325796428,0.16211812,0.17898799,0.09344318
scvelo_dyn,-0.361948477,-0.43049488,-0.469458949,-0.19017284,-0.287745054
scvelo_stc,-0.074185334,-0.284057002,-0.134144176,0.084768384,0.115857274
veloae,0.385587447,0.212278122,-0.200491995,-0.277090091,-0.229395606
dynamo_m1,-0.528782441,-0.494838967,-0.512119364,-0.441683478,-0.519818954
unitvelo_ind,-0.478001047,-0.423524255,-0.333535464,-0.438299783,-0.342484656
unitvelo_uni,0.709384948,0.665706855,0.628350998,0.599426028,0.655603447
velovae_std,-0.286399515,-0.415244592,-0.650418209,-0.542433163,-0.471221695
velovae_fullvb,-0.381474113,-0.490099954,-0.624755303,-0.600076839,-0.302446607
deepvelo,-0.100434489,-0.139131079,-0.149635718,0.112382945,-0.163882417
celldancer,-0.216150428,0.108021014,0.0729793,0.081478518,0.089515133
pyrovelocity_m1,-0.233462675,-0.204978336,-0.293432885,-0.233463697,-0.268426948
pyrovelocity_m2,0.147752717,0.121478364,0.11403807,0.116277509,0.149361901
kvelo,-0.353031062,0.343055977,-0.618469563,0.406522662,0.113637144
velovi,0.25229704,0.251741051,-0.322108562,-0.18451738,-0.258570912
sdevelo,0.422555609,0.499835388,0.454477383,0.414649821,0.072857539
cell2fate,0.391187175,0.431586084,0.24682807,0.354564715,0.272425261
svelvetvae,0.138325659,0.210856485,0.27272478,-0.089394589,-0.387461451
latentvelo_std,0.473485044,0.028814303,0.257828111,0.275165598,0.264892918
tivelo_std,-0.459775474,-0.380286271,-0.385839187,0.039236627,-0.391452473
tivelo_simple,-0.462276017,-0.372841259,-0.455609689,0.041742323,-0.398869284
sctour_mse,0.189420284,0.222565253,0.258685,0.232866803,0.219532453
sctour_nb,-0.389985716,-0.374480795,-0.363235689,-0.356330918,-0.387597482
sctour_zinb,-0.241863122,-0.213980039,-0.378934025,-0.347029827,-0.385759699
graphvelo_std,0.242356636,-0.404767015,-0.406101157,-0.121019248,-0.014396554
