Method,0,1,2
velocyto,0.8554532200192086,0.769054936629072,0.8430760556617114
scvelo_dyn,0.8701429685359685,0.8864550774482352,0.9252510927835453
scvelo_stc,0.8600904753666773,0.8453281436727047,0.8180776301729744
veloae,0.8753862530070919,0.8408682948603388,0.6895147697395297
dynamo_m1,0.790513258198939,0.7384419063367735,0.7525771169847963
unitvelo_ind,0.8989092308255777,0.8920737713724785,0.8896640995887897
unitvelo_uni,0.8751502823338309,0.7898471402262575,0.89919855580044
velovae_std,0.741373170936082,0.6155728260178743,0.9006950617667613
velovae_fullvb,0.8688849783535946,0.7360171783924697,0.9011402364591381
deepvelo,0.8333224217361909,0.8444214038074199,0.8036243467286105
celldancer,0.8184594401863754,0.814544460144713,0.8211167078490847
pyrovelocity_m1,0.84903998595688,0.8585369266854459,0.7312160822402552
pyrovelocity_m2,0.8469011347442538,0.7826976390902822,0.7004551347762155
kvelo,0.6384714002766984,0.5996630880444141,0.6252799862938495
velovi,0.658087435898136,0.7241495212651832,0.8716453781203799
sdevelo,0.8838166326611888,0.8380407897525934,0.9140491574992327
cell2fate,0.20116748907285448,0.2757034405546575,0.14216926732837243
svelvetvae,0.711333341888455,0.6934340851373177,0.8163857676039524
latentvelo_std,0.8140027347064185,0.9178103695675499,0.8234894360674864
tivelo_std,0.7454215938926005,0.7279398935847851,0.7690026982866593
tivelo_simple,0.6821292540699846,0.6457776165697855,0.7126312841671415
sctour_mse,0.8434261113137134,0.8350355513532812,0.87040646008048
sctour_nb,0.8151541283097534,0.8281533589091259,0.7558095283321058
sctour_zinb,0.8340486637941098,0.8720990238769893,0.792739139348794
graphvelo_std,0.8472113636505361,0.7122307244703474,0.7699072823714643
