Method,0,1,2
velocyto,0.48266089490364256,0.5036803057785529,0.5215576690204775
scvelo_dyn,0.6503657057756522,0.5922840943653948,0.6189396298860717
scvelo_stc,0.577547190795517,0.6019682316390542,0.598057339802691
veloae,0.8290623663987728,0.8190696566009397,0.7607383923861681
dynamo_m1,0.7668352098297955,0.734392244522086,0.6904762448971022
unitvelo_ind,0.653940740835385,0.70888965144226,0.6197615032290353
unitvelo_uni,0.8698618895693367,0.881810482866358,0.8683225794193701
velovae_std,0.6016211890045138,0.6502523976798653,0.5830200982926117
velovae_fullvb,0.7566427785930304,0.7748942808053022,0.7805238796199537
deepvelo,0.7972439230573026,0.7173707133900126,0.7546279301016029
celldancer,0.3254167257818079,0.37914953380145744,0.3216125972849672
pyrovelocity_m1,0.6996460281967984,0.7094234570606299,0.7044365094519358
pyrovelocity_m2,0.7070643614984218,0.8024656746029125,0.7512472019987576
kvelo,0.5614504418540164,0.6256261827129167,0.4652738265179985
velovi,0.820242925760027,0.7397341286603448,0.7259179094002952
sdevelo,0.7629167252362598,0.7756556070141709,0.7258845952025822
cell2fate,0.7746717594698929,0.7574728683772842,0.7231242631236476
svelvetvae,0.6662752340208401,0.5511817821977903,0.6740214644075184
latentvelo_std,0.9021543514172468,0.8899580756999222,0.8226176540793907
tivelo_std,0.7163511663915739,0.7237111353169052,0.7132199743983058
tivelo_simple,0.5962339618061288,0.6291667367353937,0.6188998719503529
sctour_mse,0.6993891169344256,0.7263031829152765,0.7681072837111402
sctour_nb,0.742199476351871,0.7890961295204596,0.7236969299643612
sctour_zinb,0.8152003988120602,0.7445806234202484,0.6978478109008818
graphvelo_std,0.7216068789160316,0.5659649427425135,0.5913598348798613
