Method,0,1,2
velocyto,0.09009173978120089,-0.30149631947278976,0.1393553465604782
scvelo_dyn,-0.037110839039087296,-0.005233501899056137,0.028303727507591248
scvelo_stc,-0.08294971846044064,-0.3576232045888901,-0.07539723999798298
veloae,-0.2187805101275444,-0.343447670340538,-0.2627529799938202
dynamo_m1,-0.09909169003367424,-0.38259634748101234,0.1973743475973606
unitvelo_ind,-0.12992898002266884,-0.20687348395586014,-0.2044665776193142
unitvelo_uni,-0.5309496745467186,0.6261084526777267,0.3435959368944168
velovae_std,-0.017634225077927113,0.031417823396623135,-0.12205126695334911
velovae_fullvb,-0.27128947526216507,-0.2392798513174057,-0.11299658194184303
deepvelo,-0.2791886292397976,-0.3295658868737519,-0.16042647138237953
celldancer,-0.15725354850292206,-0.3471653461456299,-0.241348497569561
pyrovelocity_m1,-0.2231474220752716,-0.31570806354284286,-0.2588825859129429
pyrovelocity_m2,0.2410956621170044,0.2874063476920128,0.28409767150878906
kvelo,-0.04077572748064995,0.09617356210947037,-0.14847963117063046
velovi,0.004654295742511749,0.41153948195278645,0.31555747240781784
sdevelo,-0.1740139201283455,-0.22821037098765373,-0.10693972557783127
cell2fate,-0.25088971108198166,-0.2731640338897705,-0.32526522129774094
svelvetvae,0.18650058284401894,0.26270050182938576,0.1570776328444481
latentvelo_std,0.3702261243015528,0.5328518822789192,0.3525931416079402
tivelo_std,0.23511096835136414,0.45032198168337345,0.12061388045549393
tivelo_simple,0.1615866869688034,0.3882438912987709,0.06326184421777725
sctour_mse,-0.20659516379237175,-0.2999008074402809,-0.2941279634833336
sctour_nb,-0.22284851968288422,-0.31412944197654724,-0.3045790418982506
sctour_zinb,-0.2306429222226143,-0.31413036584854126,-0.2932843044400215
graphvelo_std,0.481276486068964,0.19297295436263084,0.3358053509145975
