Method,0,1,2,3,4
velocyto,-0.438127809,-0.307798436,-0.287532752,-0.309751261,0.11812059580005733
scvelo_dyn,-0.248964461,-0.166581393,-0.183252309,-0.214010364,-0.095373802
scvelo_stc,-0.371159341,-0.395161407,-0.401370565,-0.308151058,-0.352978332
veloae,-0.489743631,-0.538958798,-0.50073137,-0.462484522,-0.379826629
dynamo_m1,0.03770371602658103,-0.370171607,-0.285681464,0.007243958615753175,0.028076636670218928
unitvelo_ind,0.28331924633183286,0.4510370263334613,-0.039551194,0.20453546436997955,0.04375503967219133
unitvelo_uni,0.5734755290779038,0.6701589723969433,0.7210184012704671,0.7106382362687607,0.7324631829274729
velovae_std,0.692665862597028,-0.02227038,0.29007154848295236,0.5793002498196195,-0.012773851
velovae_fullvb,0.671266289226569,-0.470816217,-0.00944584,0.1915528909848606,-0.054174738
deepvelo,0.2710212529117988,-0.355418286,0.13223786153977582,0.4508883507293725,-0.374181775
celldancer,0.027226668038879947,0.32098885169207336,0.001503386777929254,0.15872442910866036,0.12601381401255674
pyrovelocity_m1,-0.4356473,-0.390043551,-0.381047907,-0.373804033,-0.355019777
pyrovelocity_m2,0.3111121929994168,0.3517861475435994,0.33610020785847866,0.31667783425062834,0.28073250307505343
kvelo,-0.589297527,-0.512985491,0.11736467881309615,-0.387904943,-0.459921057
velovi,-0.361252841,-0.104304057,0.056493618310330486,0.5157839585469016,0.6013933535037032
sdevelo,0.5479417933802235,0.5621402155325143,0.5595785884216803,0.5608339384235195,0.5603323196507358
cell2fate,-0.304502189,-0.41370407,-0.295382014,-0.287534075,0.32803736678301526
svelvetvae,0.5066473916822556,0.5536693406837235,0.5156919738477778,0.5201846618256065,0.4699484521113958
latentvelo_std,-0.589781644,0.48233454264374886,-0.574240864,0.45648025313049173,-0.302420237
tivelo_std,-0.044271109,-0.428061188,-0.084662043,-0.411114619,-0.406806084
tivelo_simple,-0.038741659,-0.400794114,0.030814659696329003,-0.427499641,-0.411262744
sctour_mse,-0.487479252,-0.496684356,-0.493161651,0.05026339944369078,-0.147569747
sctour_nb,-0.456466386,-0.272790737,-0.07352441,-0.073114545,-0.084654007
sctour_zinb,-0.461795652,-0.192074535,-0.108148485,0.0019416913757380944,-0.077847225
graphvelo_std,0.08469127449794304,0.2892867921093338,-0.297502242,0.044603760301095904,0.15646533255683479
