Method,0,1,2
velocyto,0.041481227,-0.104504965,-0.02715227
scvelo_dyn,0.20247506,0.35032713,0.013170831
scvelo_stc,-0.010602087,-0.2760871,-0.10571546
veloae,0.52596056,0.23864706,-0.17381766
dynamo_m1,0.11423361,-0.12702447,0.15487373
unitvelo_ind,-0.0095006,0.26021394,0.1222395
unitvelo_uni,0.22656588,0.13388443,-0.052221157
velovae_std,-0.13662136,0.1520321,-0.337138
velovae_fullvb,0.025172904,0.16175595,-0.31376958
deepvelo,0.27115974,-0.18107376,0.18691842
celldancer,0.028355718,0.13219512,0.16205968
pyrovelocity_m1,0.27702877,0.22512539,0.24628244
pyrovelocity_m2,-0.29850236,-0.2548328,-0.30126703
kvelo,0.049124945,0.044423774,-0.009898383
velovi,0.07939924,0.29071137,0.15202262
sdevelo,0.22123249,-0.37338975,0.28429836
cell2fate,-0.09186464,0.06512049,-0.014742829
svelvetvae,-0.18317406,0.23332094,-0.022079434
latentvelo_std,0.22244374,0.42006916,-0.41881227
tivelo_std,0.2013502,-0.01769406,0.36483502
tivelo_simple,-0.013961457,0.0460417,0.36141574
sctour_mse,0.30028695,0.3115308,0.20346628
sctour_nb,0.21060462,-0.15924612,0.081534326
sctour_zinb,0.07806056,-0.1220378,0.0099552125
graphvelo_std,-0.16396672,0.18703651,0.17289223
