Method,0,1,2
velocyto,0.6241592270213991,0.615208613556886,0.6833293497717335
scvelo_dyn,0.819746979701424,0.8337742243139556,0.7878584133368713
scvelo_stc,0.7115612215495954,0.6933062891049468,0.6969854903270515
veloae,0.8582254410091565,0.844690138133994,0.7638308617605073
dynamo_m1,0.7865476537680216,0.6358915974205022,0.7936737090375301
unitvelo_ind,0.8714970516297958,0.7552564895761902,0.9111357043378796
unitvelo_uni,0.9563139158295,0.9105110382838422,0.9435348834835489
velovae_std,0.7434489332939538,0.8019288350775483,0.8257073304548695
velovae_fullvb,0.8735373819042911,0.7762887939414231,0.8521419173631148
deepvelo,0.8505378038202643,0.72512689596911,0.822521832704903
celldancer,0.9325014113148102,0.8712989247344547,0.9263897933417718
pyrovelocity_m1,0.9088819889063794,0.8257008830645365,0.910928882684007
pyrovelocity_m2,0.8977499613845372,0.8042399754150541,0.8971999303424336
kvelo,0.5213040428805431,0.6758206305454875,0.39195186130786364
velovi,0.8907613870262358,0.7369900713674452,0.915593208383146
sdevelo,0.8342527688420521,0.6736376573611039,0.8325010427170264
cell2fate,0.806122266679103,0.8720327079706672,0.9336848000058952
svelvetvae,0.8254236661882317,0.6376160661278101,0.4718862089275907
latentvelo_std,0.8447480855945138,0.8972780918457743,0.8856221927460531
tivelo_std,0.7336117941708797,0.8069766466110326,0.8998200614578792
tivelo_simple,0.5290034930718761,0.7405067526702002,0.8067430933313883
sctour_mse,0.7926719226543076,0.7193288625211551,0.8287879647453458
sctour_nb,0.9237360831364352,0.9155447007416928,0.8281936386375923
sctour_zinb,0.9273365439731031,0.9250051868839491,0.8946084824805295
graphvelo_std,0.6686045036696513,0.5972878733928241,0.7812668687612846
