Method,0,1,2
velocyto,0.4165795335164287,0.8114874760777762,0.7678170767351977
scvelo_dyn,-0.257600454,0.015021435472318663,-0.209194219
scvelo_stc,0.7322577509449008,-0.784909975,0.7898405733840631
veloae,-0.67997154,0.8620459003420116,0.7323729628312844
dynamo_m1,0.8049646806734992,0.6093411676285346,0.812178355518914
unitvelo_ind,0.35354491596376053,-0.691337154,-0.571418823
unitvelo_uni,0.8250640604443232,0.8447359022286007,0.8280086254589065
velovae_std,0.5525969623215531,0.24002202015931534,0.5118131301732013
velovae_fullvb,0.5319787371848377,0.7359645170445736,0.05733437231682477
deepvelo,0.7927514369624933,0.4003625567707242,0.7427577076924042
celldancer,0.4327985456036749,0.799878506954538,-0.732867904
pyrovelocity_m1,0.8599963827713074,0.8533415247625702,0.8803814409951035
pyrovelocity_m2,-0.817950706,-0.884171677,-0.855507822
kvelo,0.7559569143494698,0.8441684640943027,0.8250617091813358
velovi,-0.297052296,0.874481338405329,0.8227817678378643
sdevelo,-0.259127368,-0.19115283,-0.23489713
cell2fate,0.014960694511810228,-0.024106324,-0.032542264
svelvetvae,0.7349436770308673,0.6184456497930024,0.03324431774762002
latentvelo_std,-0.827514076,-0.878752408,-0.873163456
tivelo_std,0.5733072785919426,-0.812030226,-0.752176475
tivelo_simple,0.5790388740009516,-0.812373118,-0.749705298
sctour_mse,-0.84262486,-0.888501136,-0.85037188
sctour_nb,-0.816606567,-0.867333499,-0.775787858
sctour_zinb,-0.816844829,-0.862636067,-0.787649588
graphvelo_std,0.43559184603273393,0.4100003078004536,0.49266130938630887
