Method,0,1,2
velocyto,-0.588443003,-0.535383397,0.5909094990170713
scvelo_dyn,0.36167534400102797,0.16309673412702447,0.6727699079841056
scvelo_stc,-0.589823818,-0.570861234,0.5856578119457532
veloae,-0.611577144,-0.566707017,0.014923017694544287
dynamo_m1,0.7457776105393981,0.6682703883886021,0.6812396940370572
unitvelo_ind,-0.245047219,-0.194351844,0.7717602906396703
unitvelo_uni,0.048348834282434854,-0.604549678,0.7727403180393267
velovae_std,0.7125139658408431,0.19831231448979914,-0.04385141
velovae_fullvb,0.7302726763406667,0.33540556379592773,-0.1983125
deepvelo,-0.591697566,-0.56033189,0.4162631450566599
celldancer,-0.479827981,-0.453198955,-0.462323572
pyrovelocity_m1,-0.073035484,0.7172285131323552,0.3588574626524815
pyrovelocity_m2,-0.669624647,-0.803730562,-0.763801697
kvelo,-0.349005433,-0.540412432,0.3075052035837339
velovi,-0.410232935,-0.445953633,0.7577749324456807
sdevelo,-0.720614938,-0.777377622,0.3406041641115529
cell2fate,-0.109890016,-0.14289414,-0.024920411
svelvetvae,0.5997999369139049,0.284219721605441,-0.645081261
latentvelo_std,0.7601165890239946,0.7903559715979899,-0.607855368
tivelo_std,-0.621239418,-0.539615694,0.33477547271146
tivelo_simple,-0.617873695,-0.569659205,0.3347780143418746
sctour_mse,-0.67554428,-0.714869094,-0.67554428
sctour_nb,-0.683667281,-0.707371488,-0.008199497
sctour_zinb,-0.083993535,0.007352160775991217,-0.055723576
graphvelo_std,0.7184712351986224,0.27934052523660263,0.7907189361149287
