Method,0,1,2,3,4
velocyto,0.5335941116236156,0.6011952882351714,0.594954980986507,0.5947284835141051,0.5991556351309759
scvelo_dyn,0.3800272277460397,0.3570107864186598,0.36505035194880386,0.3746443390163436,0.5501647736806852
scvelo_stc,0.4784398448151615,0.46372185637960667,0.5993315922457155,0.5206507064378089,0.3675181230650623
veloae,0.5892592652212468,0.3314857218346391,0.3637042840311152,0.5350411479338033,0.6289062196899589
dynamo_m1,0.47686018467368835,0.37355612285661693,0.4266472949454928,0.3356905042276569,0.3285062679043394
unitvelo_ind,0.3494978315638104,0.39172245352526086,0.3885653521030208,0.3988410051339125,0.3343543883486445
unitvelo_uni,0.6619037970839938,0.667176823265754,0.6727073227354025,0.6482027102737641,0.6754565695826298
velovae_std,0.4812724003427749,0.4741735001456545,0.46745737012383853,0.3637247946689786,0.4920988466774351
velovae_fullvb,0.4856552977482559,0.4728851331258969,0.48899874094007767,0.3768368919122886,0.4805058502302192
deepvelo,0.5346684393389496,0.4869666723895293,0.419598000952378,0.41084301317282057,0.46304647107930885
celldancer,0.5350161329233144,0.6229472524321282,0.4330886204184816,0.5663253591844581,0.562147943821399
pyrovelocity_m1,0.4371966199217915,0.4192386208870437,0.4266066916822349,0.4292840389075681,0.4317384237935398
pyrovelocity_m2,0.5148906594403683,0.5104085224400833,0.545652989900529,0.5312864527185981,0.5251889377688211
kvelo,0.4986966531521704,0.4793475033210045,0.3673425980213227,0.3631391623248228,0.3489958886715218
velovi,0.38463304750663097,0.384605213252345,0.3937433070252346,0.3737127615441873,0.37004521423097037
sdevelo,0.5345562123717463,0.5033091839728296,0.46285134861181854,0.4493909529086088,0.48921909812691833
cell2fate,0.5416514352263306,0.5570627979581112,0.6177836485444528,0.5512127879781036,0.560478476888497
svelvetvae,0.5470776149171735,0.5490372198464597,0.5610434935153148,0.5701077565993613,0.5677150086581062
latentvelo_std,0.6336845886867194,0.6559120550835703,0.6800222760185768,0.5900089132265458,0.6035862641868337
tivelo_std,0.36609808148206274,0.48274083873056056,0.3668052719124565,0.3735569924044462,0.5209819531777681
tivelo_simple,0.37210621660193666,0.48254223677751806,0.367642801340388,0.3733329872484239,0.5301543114654945
sctour_mse,0.38992203353907484,0.3884020718826463,0.3850674027194974,0.38180193300359283,0.3873402379020117
sctour_nb,0.38747104750673617,0.38489911093650425,0.3864845133174755,0.3903994573040786,0.38734562039561393
sctour_zinb,0.3755202014646798,0.38509961624224703,0.3848956276773618,0.6144389604901754,0.38874252943933035
graphvelo_std,0.4676706062512436,0.4270293611870426,0.39465654582549214,0.40960212076661706,0.6622323109830524
