Method,mean_1,std_1,mean_2,std_2,rank
cell2fate,0.2852753006666667,0.05271331188871747,1.0,0.0,2.0
celldancer,0.3387904432,0.13173245491383,0.4166666666666667,0.21449229460389585,8.0
deepvelo,0.2617557709333333,0.05674850073852298,0.5666666666666667,0.16029486718059452,6.0
dynamo_m1,0.2530696738666667,0.06261093561769385,0.7083333333333334,0.22630792690000448,5.0
graphvelo_std,0.1743921202,0.04930224476473248,0.35833333333333334,0.18066236157232332,20.0
kvelo,0.33927057093333335,0.07608824000444583,0.6833333333333333,0.1877313387678135,3.0
latentvelo_std,0.19995477566666667,0.0415990112210788,0.275,0.11257713405088579,23.0
pyrovelocity_m1,0.2999823485333334,0.05960101462394881,0.03333333333333333,0.03486083443891981,19.0
pyrovelocity_m2,0.3559256356,0.07374089142171598,0.08333333333333333,0.06588078458684124,13.0
sctour_mse,0.09330336398666667,0.059215989644918664,0.5083333333333334,0.14553540997144152,20.0
sctour_nb,0.12641225204,0.03213306297099102,0.125,0.05892556509887897,24.0
sctour_zinb,0.12013238023999999,0.011516374382353752,0.1,0.08122328620674138,25.0
scvelo_dyn,0.30925897946666664,0.09658488779098807,0.4666666666666666,0.09501461875826148,8.0
scvelo_stc,0.21309985666666664,0.051952791431635746,0.8166666666666667,0.09592387027684453,6.0
sdevelo,0.3964051288,0.11278105445173604,0.6916666666666667,0.27417806460603505,1.0
svelvetvae,0.23169526826666664,0.04442114616164191,0.19166666666666665,0.08640183897219883,20.0
tivelo_simple,0.075549561,0.02282303252186005,0.75,0.08333333333333333,18.0
tivelo_std,0.17408271106666667,0.05505991148892087,0.8,0.06180165405913051,12.0
unitvelo_ind,0.20170951466666667,0.07493820154301938,0.5583333333333333,0.03726779962499656,16.0
unitvelo_uni,0.25716300706666667,0.02052375985353743,0.5583333333333333,0.12004050242406608,11.0
veloae,0.06764238278666666,0.03636442189779508,0.9166666666666666,0.05103103630798287,14.0
velocyto,0.23197479613333333,0.04371882039201027,0.8666666666666666,0.09947780321927767,4.0
velovae_fullvb,0.2992307325333333,0.058887111859732236,0.24166666666666664,0.13944333775567927,16.0
velovae_std,0.3460977481333334,0.06201108081440904,0.2833333333333333,0.10785149254620655,8.0
velovi,0.23675067693333335,0.03726208909465473,0.5,0.12499999999999996,14.0
