Method,mean_1,std_1,mean_2,std_2,rank
cell2fate,0.285275301,0.052713312,0.639250362,0.047832383,3
celldancer,0.338790443,0.131732455,0.538768308,0.087814052,7
deepvelo,0.261755771,0.056748501,0.586665862,0.084702898,11
dynamo_m1,0.253069674,0.062610936,0.67536304,0.198785812,3
graphvelo_std,0.17439212,0.049302245,0.487509064,0.069284177,21
kvelo,0.339270571,0.07608824,0.593464118,0.081643385,2
latentvelo_std,0.199954776,0.041599011,0.449567902,0.026879644,23
pyrovelocity_m1,0.299982349,0.059601015,0.501071609,0.041860322,13
pyrovelocity_m2,0.355925636,0.073740891,0.499741223,0.049821526,8
sctour_mse,0.093303364,0.05921599,0.516557513,0.092850819,22
sctour_nb,0.126412252,0.032133063,0.335785686,0.027744353,24
sctour_zinb,0.12013238,0.011516374,0.333746704,0.018495463,25
scvelo_dyn,0.309258979,0.096584888,0.538638907,0.072699911,9
scvelo_stc,0.213099857,0.051952791,0.706989945,0.098463723,6
sdevelo,0.396405129,0.112781054,0.660259162,0.166858863,1
svelvetvae,0.231695268,0.044421146,0.453065901,0.023669227,20
tivelo_std,0.174082711,0.055059911,0.654481229,0.027214558,14
tivelo_simple,0.075549561,0.022823033,0.630785663,0.038807381,19
unitvelo_ind,0.201709515,0.074938202,0.611953468,0.03155903,14
unitvelo_uni,0.257163007,0.02052376,0.599823148,0.036266047,9
veloae,0.067642383,0.036364422,0.838887279,0.054043766,14
velocyto,0.231974796,0.04371882,0.694468264,0.084913619,5
velovae_std,0.346097748,0.062011081,0.486537438,0.037890146,12
velovae_fullvb,0.299230733,0.058887112,0.484356413,0.063288449,18
velovi,0.236750677,0.037262089,0.559019588,0.08394511,14
