Method,mean_dataset_mean,rank
UniTVelo (ind),0.6079157414861883,1
veloVI,0.5884794406563338,2
VeloAE,0.5866950757547935,3
SvelvetVAE,0.5860172994065269,4
LatentVelo (std),0.5742819057249117,5
cellDancer,0.5735588883299096,6
Pyro-Velocity (m2),0.5683792229004966,7
UniTVelo (uni),0.5607634888471784,8
Velocyto,0.5595959315450381,9
TIVelo (std),0.532855664054966,10
scVelo (stc),0.5321445267054645,11
TIVelo (simple),0.5237026639169123,12
DeepVelo,0.5025482720571457,13
GraphVelo (std),0.4966997125562275,14
scTour (NB),0.4808295882036529,15
  -velo,0.47945981387316633,16
scTour (ZINB),0.47872042133842985,17
scTour (MSE),0.4621593192343005,18
scVelo (dyn),0.462063543852488,19
VeloVAE (Full VB),0.45805685236347987,20
Dynamo (m1),0.45609441418657204,21
Pyro-Velocity (m1),0.45360757098344034,22
VeloVAE (std),0.45170356661478517,23
SDEvelo,0.45154854745811573,24
cell2fate,0.4341735699827302,25
