Method,0,1,2
velocyto,0.5615899465115314,0.5891039189517835,0.5502441097801871
scvelo_dyn,0.7167637785705662,0.6724460241973238,0.7226166961243957
scvelo_stc,0.6643657401778609,0.6987146060934829,0.5965362817253059
veloae,0.903476738869342,0.8074478706648442,0.8237228707245796
dynamo_m1,0.7840728628835192,0.8086473747825695,0.7941473815068882
unitvelo_ind,0.8427794241730353,0.8210824391190682,0.8665878531167457
unitvelo_uni,0.9335216253350171,0.9266223290809561,0.8193955745540424
velovae_std,0.7347031108344295,0.7793896766003803,0.8062466845723646
velovae_fullvb,0.8661838930628709,0.7922218060206183,0.8299108401464257
deepvelo,0.8304799642424936,0.8832481526393205,0.8375909576059111
celldancer,0.45246739741264924,0.5343424650336865,0.5307136502984352
pyrovelocity_m1,0.7706794738096394,0.8152558437619455,0.8174982238069104
pyrovelocity_m2,0.8138449157148215,0.8501936542477133,0.8123179445637136
kvelo,0.7605268968609074,0.8137904373052369,0.7424559280580387
velovi,0.8271584119067059,0.8432750848266628,0.8115053789686413
sdevelo,0.8359585902100487,0.7656979727492781,0.8228526196781473
cell2fate,0.851282196648469,0.7622613888568938,0.7646639265251296
svelvetvae,0.5931162179268583,0.7036136052551043,0.6117638844581644
latentvelo_std,0.9303387080070984,0.9040520122429611,0.83579591690834
tivelo_std,0.730308124957521,0.7187249239737872,0.7318017155809226
tivelo_simple,0.6898094795619126,0.6804199507517775,0.6490165624114337
sctour_mse,0.8301120805602548,0.7253685220891566,0.7245252103596838
sctour_nb,0.8657146848849249,0.8780302474840334,0.8525414886543187
sctour_zinb,0.9466451817503453,0.8210362076251365,0.8338817491105908
graphvelo_std,0.8048527969105199,0.7892154523353614,0.6567090782273479
