Method,0,1,2
velocyto,-0.298250385,-0.528550606,-0.492494188
scvelo_dyn,-0.282178585,-0.159670228,-0.282784777
scvelo_stc,-0.53244008,-0.448649623,-0.346014917
veloae,0.44603741441694444,-0.410844619,0.07962965114289261
dynamo_m1,0.18748466822053134,0.2469614366136776,0.08103962267003112
unitvelo_ind,0.16205151612864266,-0.226908842,0.027567170160160106
unitvelo_uni,0.704726779222991,0.6358944642950087,0.6777280037237777
velovae_std,-0.464777377,-0.444206413,-0.580961332
velovae_fullvb,-0.596991765,-0.1105535,-0.57569418
deepvelo,0.43292406988088267,-0.556457664,-0.002537042
celldancer,0.13677348180169588,-0.183929405,0.3034455338125728
pyrovelocity_m1,-0.459530536,-0.45409267,-0.452807795
pyrovelocity_m2,0.4627013820827282,0.45739509389902205,0.4556591177122286
kvelo,-0.625037543,0.24050333933002513,0.17580716063373084
velovi,-0.417307139,-0.274623114,-0.210558711
sdevelo,0.524734216833631,0.5430786625225621,0.5187401866954332
cell2fate,-0.462365129,-0.508418181,0.4120849219750668
svelvetvae,-0.657622385,-0.612550779,-0.477938815
latentvelo_std,-0.393430031,0.47574022922976184,-0.412198046
tivelo_std,-0.365481469,-0.538891851,0.18451682814761047
tivelo_simple,-0.36565818,-0.550377066,0.185051203368649
sctour_mse,-0.673386888,-0.489800952,-0.467153879
sctour_nb,-0.247463803,-0.164058325,-0.074400156
sctour_zinb,0.41030747808523255,-0.438801992,-0.335793783
graphvelo_std,0.12746999532690365,0.07360519681678904,0.003596681043811899
