Method,0,1,2,3,4
velocyto,0.8685016268243236,0.88308489369977,0.8796318497905612,-0.785871765,0.8667401717433697
scvelo_dyn,-0.449148094,0.1824835870436522,0.21288479553918624,0.4230188653119191,-0.081286644
scvelo_stc,-0.121163469,0.8905361804394636,0.8885572530527213,0.8925811456306807,-0.300229489
veloae,-0.805402803,0.864573062553917,-0.822549187,0.3675251919769531,-0.90851416
dynamo_m1,0.7863064068667802,0.8040579630633325,0.7722268608372671,0.7920924635915951,0.8269083556550911
unitvelo_ind,0.6002016696659025,0.4364034171765252,-0.49655288,0.5667106004278193,-0.197258171
unitvelo_uni,-0.479292836,0.39694633321675493,-0.498823923,-0.25637016,-0.539807466
velovae_std,-0.774198069,0.6989012781900891,0.7171504289868795,0.7203207765231191,0.7151884054551226
velovae_fullvb,-0.753423188,0.6717155694087713,0.694347634935991,-0.611730704,0.6895201631121719
deepvelo,0.8936988052125836,0.9188704243078932,0.8885751984073846,0.9203747453535063,0.8797275129615455
celldancer,0.7666505622481409,0.6346657559617802,-0.10205779,0.3778234993332429,0.27395690867385175
pyrovelocity_m1,0.8124628626981176,0.8188466070239192,0.8172229077384747,0.8280432414235348,0.8276381670715897
pyrovelocity_m2,-0.833232173,-0.793074423,-0.831429989,-0.831239699,-0.813043246
kvelo,-0.682027843,0.9012659949908217,0.9125583588879657,0.904344354305306,0.8986353740897582
velovi,0.7603757829591191,0.7408961189823232,0.6231305140647477,0.6822561815799908,0.7523842844745563
sdevelo,0.8369494297341707,0.8198072674128609,0.83421816609965,0.8364234555071557,0.8264837494844813
cell2fate,0.8230585802965226,0.7565247240575471,0.715041152439803,0.28858620887121844,0.8386121918110062
svelvetvae,0.734558221263071,0.7339102192767384,0.46479837239636046,0.4563892440792466,0.4940820942862226
latentvelo_std,-0.761928375,-0.827670314,-0.677153647,-0.890480743,-0.902592991
tivelo_std,0.9135497131148176,0.922573693973854,0.903970288426684,-0.909033835,0.8978431937235785
tivelo_simple,0.9070308389995689,0.9235061253404614,0.9030873653644447,0.8980948110576507,0.8942372480467744
sctour_mse,0.6866665123532235,-0.015829479,0.07555558174264604,0.6655731390480707,0.6826841419855811
sctour_nb,0.8243906472350012,0.8553607451137066,0.8926756219463206,0.8776623287120865,0.878094504507473
sctour_zinb,0.8302523163938995,0.9138723474184088,0.9150298282979163,0.8288848363018291,0.9111043696752421
graphvelo_std,-0.548354444,0.6967797555717568,0.7851440924631838,0.8954247494325418,-0.260094307
