Method,SS
velocyto,0.5909592460262691
scvelo_dyn,0.5690517824523323
scvelo_stc,0.6503779002899719
veloae,0.6101362496918477
dynamo_m1,0.48369923801086745
unitvelo_ind,0.4893656934784311
unitvelo_uni,0.5923494546971952
velovae_std,0.4786602733408022
velovae_fullvb,0.4185159940467247
deepvelo,0.44864866979210205
celldancer,0.6489830061202271
pyrovelocity_m1,0.5680680946070485
pyrovelocity_m2,0.4317881934126122
kvelo,0.4488169947189087
velovi,0.6092048451427784
sdevelo,0.6133531038944137
cell2fate,0.5181592277762337
svelvetvae,0.5044140568535176
latentvelo_std,0.3563870946490061
tivelo_std,0.507169704410068
tivelo_simple,0.48982704982249414
sctour_mse,0.36917320063440834
sctour_nb,0.43155768095930214
sctour_zinb,0.475772928520122
graphvelo_std,0.5215362316086958
