Method,SS
velocyto,0.9024914256449212
scvelo_dyn,0.13001646858517238
scvelo_stc,0.9024045021385895
veloae,0.14377594663315513
dynamo_m1,0.16485291488416154
unitvelo_ind,0.844496151135814
unitvelo_uni,0.8909835190284017
velovae_std,0.9050572075071841
velovae_fullvb,0.9091057629997574
deepvelo,0.8759431539953112
celldancer,0.6710735074346645
pyrovelocity_m1,0.5011926846740031
pyrovelocity_m2,0.9038708923128398
kvelo,0.4532126523564013
velovi,0.7146467450323457
sdevelo,0.91330009614511
cell2fate,0.3139483528179394
svelvetvae,0.10208719908184521
latentvelo_std,0.8449418237132065
tivelo_std,0.8528685212047745
tivelo_simple,0.8310276304935783
sctour_mse,0.17902930297248498
sctour_nb,0.8980280560981282
sctour_zinb,0.8987092140879716
graphvelo_std,0.09977722197387998
