Method,0,1,2,3,4
velocyto,0.5136682243301777,0.569926068007358,0.5364447126997954,0.5258757900022374,0.5739556763406927
scvelo_dyn,0.4254302244181795,0.3448895580294975,0.5072363043418154,0.45876513156564563,0.3660656880172683
scvelo_stc,0.5049703804462587,0.5626646552904185,0.5340393163291398,0.5159684195801163,0.564182800161052
veloae,0.9206043560365335,0.7889353904980708,0.9231773339711606,0.8278740409984534,0.9446040143333931
dynamo_m1,0.8792522975165797,0.8695969274035785,0.879401206747277,0.8759921305109547,0.8719536586673592
unitvelo_ind,0.6112578154093637,0.6359360187931246,0.5507427363131472,0.6277789283687596,0.6190400980448253
unitvelo_uni,0.6600404267700073,0.6139351167142578,0.4528509325596644,0.6518332096679931,0.5684456107615801
velovae_std,0.4234055716540543,0.3953952220354448,0.49477227143938024,0.45625108264428915,0.44296958411560505
velovae_fullvb,0.4095616137515483,0.3967978781322777,0.4079718909455433,0.36926498646113043,0.37467394324111464
deepvelo,0.4544668000495831,0.44900196383123653,0.4513060691003618,0.438488829543545,0.4693804334278907
celldancer,0.5943300711581704,0.6137774670413042,0.5515922556342142,0.5466160814424916,0.5574199191387808
pyrovelocity_m1,0.4848743926054031,0.5179631346595098,0.5082564555764563,0.49628137394182015,0.5188562756496812
pyrovelocity_m2,0.4863725062623436,0.4891735996524351,0.5425903982164145,0.5593671125372949,0.5145698945794892
kvelo,0.5741223573636571,0.5337344074157006,0.5990199333896624,0.38967759443480254,0.575819824588607
velovi,0.418873195409314,0.3740936272681521,0.39232808183832796,0.40383158905440614,0.4662981553441275
sdevelo,0.871870709884372,0.8515392784272455,0.8850153789060728,0.8704149289889459,0.866184785066683
cell2fate,0.670445981332969,0.5834548700910103,0.682258606129986,0.6424768036251847,0.7688132817406056
svelvetvae,0.48839647444283435,0.4381143549898223,0.4826517876090047,0.4465487891747189,0.4495158704724072
latentvelo_std,0.4537439500569217,0.30940720747720796,0.4726526847372436,0.4886218016311285,0.43598968500097507
tivelo_std,0.6468591603752363,0.572508063070553,0.6883623029273872,0.6579832509089961,0.677923614682582
tivelo_simple,0.6801555659801222,0.6769543245457813,0.6758539590661895,0.6592047406136351,0.6966826641856825
sctour_mse,0.4934712184765894,0.4912529772521744,0.5891027400364435,0.5667895782392501,0.5919063523603126
sctour_nb,0.5332474340411404,0.1874117825650392,0.17660106245662707,0.41332770373410277,0.1922304422120672
sctour_zinb,0.4830039145583692,0.24148184071519854,0.3435361424607685,0.21548376192126314,0.31262145318081974
graphvelo_std,0.36255875527196224,0.3769548533445033,0.3719951794677459,0.36255875527196224,0.3651784535476985
