Method,0,1,2,3,4
velocyto,0.19006318,0.219851,0.21845388,0.18190812,0.20271114
scvelo_dyn,0.20286706,0.2619458,0.1887481,0.2418491,0.21116416
scvelo_stc,0.20172584,0.22406696,0.22504719,0.19126038,0.20676203
veloae,0.08366791,0.11367459,0.048558023,0.08925653,0.02050998
dynamo_m1,0.17783839,0.19415331,0.16799866,0.16647309,0.18634163
unitvelo_ind,0.2715888,0.3040382,0.2786039,0.3012399,0.3118135
unitvelo_uni,0.20746231,0.23730798,0.2961004,0.28224975,0.19251242
velovae_std,0.2695846,0.27662984,0.23673855,0.32307512,0.29831576
velovae_fullvb,0.23568636,0.264344,0.23514509,0.21980695,0.22852363
deepvelo,0.20403282,0.13254447,0.16132934,0.18248977,0.16700369
celldancer,0.21967687,0.2369792,0.22064309,0.22087416,0.22916256
pyrovelocity_m1,0.2619143,0.2481005,0.23913497,0.24938226,0.2502412
pyrovelocity_m2,0.3429479,0.33603662,0.33462545,0.39196885,0.32740542
kvelo,0.32012114,0.21597292,0.34534717,0.32256746,0.3793122
velovi,0.19372827,0.1808834,0.20347412,0.17821987,0.20203058
sdevelo,0.4291386,0.4377761,0.44329244,0.4475941,0.44531128
cell2fate,0.31197244,0.33216462,0.30481914,0.27986342,0.41949838
svelvetvae,0.1798056,0.15619831,0.16147189,0.16212887,0.16390397
latentvelo_std,0.048725955,0.1264235,0.27226523,0.21906807,0.07660082
tivelo_std,0.23584183,0.1731444,0.2861681,0.30459002,0.33723226
tivelo_simple,0.037781592,0.046393093,0.03533932,0.044674046,0.033768624
sctour_mse,0.0334914,0.041241147,0.021821102,0.021118585,0.021483604
sctour_nb,0.025722321,0.26674253,0.29999515,0.0650528,0.2577103
sctour_zinb,0.031659536,0.17985879,0.09991371,0.20940524,0.10841667
graphvelo_std,0.2407235,0.23712711,0.25174037,0.2407235,0.2159815
