Method,0,1,2
velocyto,0.7142938134431368,0.7257892950776237,0.7150407967141802
scvelo_dyn,0.5570033566746178,0.5273281083809712,0.5989519887297374
scvelo_stc,0.7183664530726773,0.7517048907190625,0.7288210306424714
veloae,0.8573085433001011,0.8658322402836321,0.6861921455186568
dynamo_m1,0.8722880958244752,0.8676056890221064,0.8809135685119187
unitvelo_ind,0.6687573050331795,0.6153094151900872,0.6269595338566221
unitvelo_uni,0.597689288138342,0.5880356061798029,0.6034619088612423
velovae_std,0.5299533679985025,0.49262844051619087,0.5219070933867013
velovae_fullvb,0.5512967626762236,0.5758775724121645,0.5468923959463566
deepvelo,0.6332892224636921,0.6260226213339705,0.6266009189937493
celldancer,0.6890980484149225,0.6803948588078389,0.6643834872602468
pyrovelocity_m1,0.5902703237165569,0.5683412777826933,0.5543131256966133
pyrovelocity_m2,0.5694812862622071,0.5682557082940934,0.5927515712921201
kvelo,0.54101624607214,0.7131917031218438,0.7023782320386144
velovi,0.5505642816005124,0.5689519042592738,0.6486821792358394
sdevelo,0.7152076102111815,0.725414900914975,0.7475083288691285
cell2fate,0.6826042019890921,0.6523950884596834,0.7799978849571261
svelvetvae,0.4826865800483553,0.5246518965810903,0.45072969475183605
latentvelo_std,0.47323647949202713,0.5037447155657684,0.4607483347908162
tivelo_std,0.6400205035804961,0.6150959115146402,0.6403657678696211
tivelo_simple,0.6031677900732179,0.5741072593294797,0.5786048446781961
sctour_mse,0.4219887430702604,0.5302807030956246,0.4465817509541504
sctour_nb,0.39812386528148447,0.36061729027222134,0.3758618221516817
sctour_zinb,0.3729161987347023,0.35600895680439487,0.3305851860536417
graphvelo_std,0.540749944649259,0.5288785634255488,0.5429104042898166
