Method,0,1,2
velocyto,0.18098706,0.16099073,0.19151935
scvelo_dyn,0.2776177,0.22448921,0.23935331
scvelo_stc,0.14651272,0.12464974,0.15671888
veloae,0.016194038,0.015750827,0.013363699
dynamo_m1,0.2564626,0.25315228,0.27437648
unitvelo_ind,0.13811883,0.1216201,0.1880248
unitvelo_uni,0.2882463,0.1976147,0.2847468
velovae_std,0.27980685,0.29143128,0.29760772
velovae_fullvb,0.18456154,0.27728793,0.25273377
deepvelo,0.32493863,0.2868261,0.26889038
celldancer,0.2993292,0.2943874,0.29846948
pyrovelocity_m1,0.30547234,0.27064788,0.20865181
pyrovelocity_m2,0.32319355,0.31147042,0.3853703
kvelo,0.16590387,0.2953991,0.33563253
velovi,0.24712893,0.291127,0.26141766
sdevelo,0.19919008,0.21809432,0.21807614
cell2fate,0.31251585,0.270844,0.21565601
svelvetvae,0.24924959,0.21976161,0.28197503
latentvelo_std,0.20556997,0.37414792,0.19442213
tivelo_std,0.15224956,0.1250574,0.09252396
tivelo_simple,0.098387375,0.0825339,0.06994673
sctour_mse,0.16094884,0.08187476,0.051975586
sctour_nb,0.12812518,0.10346168,0.12462596
sctour_zinb,0.13737373,0.11030289,0.11590359
graphvelo_std,0.10563725,0.12089241,0.14394571
